ADITYA BIRLA FASHION & RETAIL LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,12/30/1899,12/30/1899,12/30/1899,03/31/2019,03/31/2020,03/31/2021,03/31/2022,03/31/2023,03/31/2024,03/31/2025,Trailing,Best Case,Worst Case
Sales,0,0,0,8117.72,8787.86,5248.92,8136.22,12417.9,6441.47,7351.4,7906.26,8389.86783451603,7074.15514495538
Expenses,0,0,0,7525.04,7528.48,4666.31,6997.78,10860.5,6032.99,6652.75,7237.45,7536.97207673772,6475.73494343183
Operating Profit,0,0,0,592.679999999999,1259.38,582.610000000001,1138.44,1557.4,408.480000000001,698.65,668.81,852.895757778311,598.420201523553
Other Income,0,0,0,63.42,62.53,72.68,102.89,123.17,319.17,525.22,390.82,0,0
Depreciation,0,0,0,282.33,885.31,962.75,997.03,1226.96,1016.89,1166.4,1291.85,1291.85,1291.85
Interest,0,0,0,224.67,469.49,530.08,389.23,536.05,587.73,607.5,513.4,513.4,513.4
Profit before tax,0,0,0,149.1,-32.89,-837.54,-144.93,-82.44,-876.97,-550.03,-745.62,-952.354242221689,-1206.82979847645
Tax,0,0,0,-172.12,132.13,-101.54,-26.57,-22.97,-141.06,-94.21,-55.95,0%,0%
Net profit,0,0,0,321.22,-163.01,-672.51,-108.72,-36,-628.02,-375.82,-644.41,-952.354242221689,-1206.82979847645
EPS,0,0,0,3.71825442759579,-1.88581675150393,-7.93428504011326,-1.1588147516521,-0.379426644182125,-6.18738916256158,-3.07998688739551,-5.27983872537451,-7.80291554810877,-9.88790786134892
Price to earning,,,,20.6925054479796,-28.316643150727,-8.98631693209023,-92.3529838116262,-200.144088888889,-11.7690997102003,-29.4773982225534,0,0,0
Price,0,0,0,76.94,53.4,71.3,107.02,75.94,72.82,90.79,67.35,0,0
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,
OPM,0%,0%,0%,7.30106483101166%,14.3309065005587%,11.099616683051%,13.9922470139696%,12.5415730518042%,6.34140964717682%,9.50363196125908%,8.45924621755419%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,,,-3.50664985776611%,-3.3246417196657%,14.1261233848795%,14.1261233848795%,-3.50664985776611%
,,,,,,OPM,11.0397796589081%,11.0397796589081%,11.0758409138722%,10.1657829968368%,8.45924621755419%,10.1657829968368%,8.45924621755419%
,,,,,,Price to Earning,20.6925054479796,20.6925054479796,,,0,0,0
