ADANI GREEN ENERGY LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,03/31/2017,03/31/2018,03/31/2019,03/31/2020,03/31/2021,03/31/2022,03/31/2023,03/31/2024,03/31/2025,03/31/2026,Trailing,Best Case,Worst Case
Sales,501.65,1480.28,2057.98,2549,3124,5133,7776,9220,11212,12928,12928,15315.2129774997,14906.634320371
Expenses,98.46,637.16,532.24,1099,883,1621,2806,1881,2323,2160,2160,2558.85365341888,3738.74284681471
Operating Profit,403.19,843.12,1525.74,1450,2241,3512,4970,7339,8889,10768,10768,12756.3593240808,11167.8914735563
Other Income,80.3,41.51,72.74,-111,391,507,667,1323,1316,672,672,0,0
Depreciation,333.27,542.99,1061.96,394,486,849,1300,1903,2498,3372,3372,3372,3372
Interest,334.14,551.82,1121.18,995,1953,2617,2911,5088,5492,6484,6484,6484,6484
Profit before tax,-183.92,-210.18,-584.66,-50,193,553,1426,1671,2215,1584,1584,2900.35932408078,1311.89147355632
Tax,-137.68,-72.7,-113.16,11,11,64,453,411,214,14,14,0.883838383838384%,0.883838383838384%
Net profit,-46.67,-137.52,-473.91,-23,210,489,974,1100,1444,1652,1652,2874.72483510532,1300.29647315873
EPS,-0.366355286914201,-0.998910438003923,-3.03011508951407,-0.147058823529412,1.34271099744246,3.12659846547315,6.1489898989899,6.94444444444444,9.11616161616162,10.0291403593978,10.0292854366819,17.4524430527782,7.89409472253007
Price to earning,,,-12.2602603869933,-1042.1,822.850190476191,612.390756646217,143.299958932238,264.2616,104.06243767313,80.4555496368039,135.832209443099,146.152949188258,135.832209443099
Price,0,0,37.15,153.25,1104.85,1914.7,881.15,1835.15,948.65,806.9,1362.3,2550.72602270366,1072.27232771437
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,
OPM,80.3727698594638%,56.9567919582782%,74.1377467225143%,56.8850529619459%,71.7349551856594%,68.4200272744983%,63.9146090534979%,79.5986984815618%,79.2811273635391%,83.2920792079208%,83.2920792079208%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,43.480301552318%,30.0208152478205%,32.8507662468047%,18.4654469175407%,15.3050303246522%,18.4654469175407%,15.3050303246522%
,,,,,,OPM,74.9189336340972%,75.4091101613338%,76.677689165532%,80.9232613908873%,83.2920792079208%,83.2920792079208%,74.9189336340972%
,,,,,,Price to Earning,309.021814686811,309.021814686811,223.383752055248,146.152949188258,135.832209443099,146.152949188258,135.832209443099
