ADANI PORTS & SPECIAL ECONOMIC ZONE LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,03/31/2017,03/31/2018,03/31/2019,03/31/2020,03/31/2021,03/31/2022,03/31/2023,03/31/2024,03/31/2025,03/31/2026,Trailing,Best Case,Worst Case
Sales,8439.35,11322.96,10925.44,11873.07,12549.6,17118.79,20851.91,26710.56,30475.33,38735.77,38735.75,49235.2298561787,45882.3704255497
Expenses,3021.12,4166.29,4329.8,5925.96,3861.64,7590.83,9904.78,11121.15,12334.81,15884.36,16094.55,20192.8292089151,19476.5944355646
Operating Profit,5418.23,7156.67,6595.64,5947.11,8687.96,9527.96,10947.13,15589.41,18140.52,22851.41,22641.2,29042.4006472636,26405.7759899851
Other Income,1036.57,844.49,1289.25,1927.73,1966.68,1832.4,327.11,670.56,1799.85,2168.51,2378.72,0,0
Depreciation,1160.19,1188.37,1373.48,1680.28,2107.34,3099.3,3424.71,3888.46,4378.93,5517.38,5517.38,5517.38,5517.38
Interest,1115.74,1578.66,1385.19,1950.64,2255.29,2543.92,2362.64,2732.94,2531.82,4653.98,4653.98,4653.98,4653.98
Profit before tax,4178.87,5234.13,5126.22,4243.92,6292.01,5717.14,5486.89,9638.57,13029.62,14848.56,14848.56,18871.0406472636,16234.4159899851
Tax,286.63,1544.18,1081.47,459.39,1243.27,763.96,96.04,1534.58,1968.36,2066.53,2066.53,13.9173764998087%,13.9173764998087%
Net profit,3911.52,3673.62,3990.22,3763.13,4994.3,4886.03,5308.85,8110.64,11092.31,12806.21,12806.21,16244.686870952,13975.0111941137
EPS,18.8871076774505,17.738387252535,19.267117334621,18.5211635003445,24.5806673885225,23.1302310168529,24.576871441137,37.5475209481043,51.3509096801074,55.5825086805556,55.5834951208183,70.5077047331554,60.6565070010098
Price to earning,17.980519082096,19.9623559322957,19.6267035401557,13.568262058446,28.5753022445588,33.4713474947964,25.7111651299246,35.7373793560064,23.0365928738018,23.6153428688113,32.2955581706063,32.2955581706063,24.8709571592272
Price,339.6,354.1,378.15,251.3,702.4,774.2,631.9,1341.85,1182.95,1312.6,1795.1,2277.08567968555,1508.58538705048
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,6.88274634924531%,11.2747099591139%,1.03803800291713%,17.2771070890456%,20.3407884988887%,21.6163224540169%,20.3448957872232%,15.980119941213%,13.6319666507698%,13.4931412182059%,,,
OPM,64.2019823801596%,63.2049393444824%,60.369559486849%,50.0890671073278%,69.2289794097023%,55.6579057281502%,52.4994113249098%,58.3642199938901%,59.5252619085667%,58.9930444134711%,58.4503978882557%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,18.4496245084959%,19.8187407515656%,25.2842455284308%,22.92931186895%,27.1053340521661%,27.1053340521661%,18.4496245084959%
,,,,,,OPM,58.6563012459393%,57.9171162712726%,57.5510283036314%,58.9870317090009%,58.4503978882557%,58.9870317090009%,57.5510283036314%
,,,,,,Price to Earning,24.8709571592272,27.0013687746189,28.9778976489911,28.6712183173064,32.2955581706063,32.2955581706063,24.8709571592272
