ADANI POWER LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,03/31/2017,03/31/2018,03/31/2019,03/31/2020,03/31/2021,03/31/2022,03/31/2023,03/31/2024,03/31/2025,03/31/2026,Trailing,Best Case,Worst Case
Sales,22615.51,20304.28,23884.18,26467.72,26221.48,27711.18,38773.3,50351.25,56203.09,54240.52,54240.52,60662.5791204111,54240.52
Expenses,16635.47,14868.35,18900.77,20734.08,17533.32,17829.77,28676.96,32123.63,34784.76,34434.41,34434.41,38233.2844674513,36995.580289771
Operating Profit,5980.04,5435.93,4983.41,5733.64,8688.16,9881.41,10096.34,18227.62,21418.33,19806.11,19806.11,22429.2946529599,17244.939710229
Other Income,-3666.12,754.1,2447.87,322.76,1908.56,3908.04,4215.54,9883.31,2589.85,3624.76,3624.76,0,0
Depreciation,2672.36,2698.72,2750.62,3006.5,3201.65,3117.54,3303.68,3931.33,4308.88,4564.53,4564.53,4564.53,4564.53
Interest,5901.73,5570.23,5656.52,5314.82,5106.33,4094.78,3333.5,3388.09,3339.79,3366.83,3366.83,3366.83,3366.83
Profit before tax,-6260.17,-2078.92,-975.86,-2264.92,2288.74,6577.13,7674.7,20791.51,16359.51,15499.51,15499.51,14497.9346529599,9313.57971022905
Tax,-86.07,-5.15,8.54,9.85,1018.76,1665.55,-3051.94,-37.28,3609.9,2528.43,2528.43,16.3129673131602%,16.3129673131602%
Net profit,-6174.1,-2102.95,-984.4,-2274.77,1269.98,4911.58,10726.64,20828.79,12938.77,12834.3,12834.3,12132.8913119392,7794.25849641426
EPS,-3.2015535631874,-1.09047586947165,-0.510456475859101,-1.17957240714141,0.658542782620419,2.54687913216177,5.56225401484078,10.8006813691683,6.70934471368494,6.65517223498421,6.65517412948498,6.29146150355459,4.04168108146566
Price to earning,-2.49253990055231,-4.34672617037971,-18.8850577001219,-4.70509480079305,25.8297569253059,14.5354365397693,6.8892934227307,9.88456157078736,15.1818104966701,22.603472109893,32.954810157157,32.954810157157,17.0082307161679
Price,7.98,4.74,9.64,5.55,17.01,37.02,38.32,106.76,101.86,150.43,219.32,207.333919460703,68.7418443147389
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,
OPM,26.4422071401441%,26.7723356848901%,20.8648988577376%,21.6627650587206%,33.1337514129637%,35.6585681302637%,26.0394137202663%,36.2009284774459%,38.1088121667332%,36.5153394547102%,36.5153394547102%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,10.207982196919%,12.4314066222861%,15.6467224087776%,11.8399659892846%,0%,11.8399659892846%,0%
,,,,,,OPM,31.7934630977525%,33.5221986013143%,34.9480995500955%,36.9738560050987%,36.5153394547102%,36.9738560050987%,31.7934630977525%
,,,,,,Price to Earning,18.2684487460448,18.2684487460448,17.0082307161679,20.1561635836269,32.954810157157,32.954810157157,17.0082307161679
