AKUMS DRUGS & PHARMACEUTICALS LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,12/30/1899,03/31/2015,03/31/2016,03/31/2020,03/31/2021,03/31/2022,03/31/2023,03/31/2024,03/31/2025,03/31/2026,Trailing,Best Case,Worst Case
Sales,0,1464.27,1650.91,2414.16,2722.63,3671.89,3654.82,4178.18,4118.16,4359.02,4359.02,4622.70824615185,4613.96724760573
Expenses,0,1339.77,1507.25,2240.06,2484.6,3760.51,3360.87,4054.87,3653.52,3837.01,3836.99,4069.09931897587,4289.79689095168
Operating Profit,0,124.5,143.66,174.1,238.03,-88.6200000000004,293.95,123.31,464.64,522.010000000001,522.03,553.608927175983,324.170356654048
Other Income,0,6.39,5.66,26.33,10.81,6.76,15.41,7.66,68.66,108.71,108.7,0,0
Depreciation,0,31.03,38.4,66.68,69.84,94.68,112.81,125.64,153.45,154.55,154.55,154.55,154.55
Interest,0,23.12,22.14,19.93,6.74,16.66,46.25,50.61,34.6,94.07,94.07,94.07,94.07
Profit before tax,0,76.74,88.78,113.82,172.26,-193.2,150.3,-45.28,345.25,382.1,382.11,304.988927175983,75.5503566540484
Tax,0,38.95,44.24,70.17,48.83,57.68,52.48,-46.07,1.48,125.71,125.7,32.8962864096726%,32.8962864096726%
Net profit,0,43.07,61.48,43.65,122.71,-252.54,94.86,-4.04,338.18,255.19,255.19,204.658896174384,50.6970949456035
EPS,0,358.916666666667,512.333333333333,335.769230769231,943.923076923077,-35.3202797202797,6.62893081761006,-0.282320055904962,21.4853875476493,16.212833545108,16.2134614374358,13.0029747284437,3.22103293189609
Price to earning,,,,,,,,,22.0242710982317,28.7488302833183,32.0751988714291,32.0751988714291,27.6161000843264
Price,0,0,0,0,0,0,0,0,473.2,466.1,520.05,417.073000334998,88.9523678221536
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0%,0%,0%,0%,0%,0%,0%,0%,0%,17.9983541674831%,,,
OPM,0%,8.50253027105657%,8.70186745491881%,7.21161811976008%,8.74264957045211%,0%,8.04280374956907%,2.9512850092624%,11.2827087825631%,11.9753981399489%,11.9758569586742%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,,14.8782796887516%,9.87023342820421%,6.04925524892872%,5.84872855838531%,6.04925524892872%,5.84872855838531%
,,,,,,OPM,7.38186954470561%,7.22978670210352%,7.02584867333565%,8.77067108324062%,11.9758569586742%,11.9758569586742%,7.02584867333565%
,,,,,,Price to Earning,27.6161000843264,27.6161000843264,27.6161000843264,27.6161000843264,32.0751988714291,32.0751988714291,27.6161000843264
