AMARA RAJA ENERGY & MOBILITY LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,03/31/2016,03/31/2017,03/31/2018,03/31/2019,03/31/2020,03/31/2021,03/31/2022,03/31/2023,03/31/2024,03/31/2025,Trailing,Best Case,Worst Case
Sales,4617.76,5317.15,6059.15,6793.11,6839.46,7149.68,8695.82,10389.71,11260.3,12404.89,13062.79,13964.338773952,13732.6999878422
Expenses,3792.79,4464.59,5174.19,5837.88,5740.9,6033.11,7666.22,8939.29,9635.33,10770.87,11553.46,12033.2276367754,12145.9657547535
Operating Profit,824.97,852.56,884.959999999999,955.23,1098.56,1116.57,1029.6,1450.42,1624.97,1634.02,1509.33,1931.11113717666,1586.73423308879
Other Income,43.89,46.59,64.64,43.29,55.05,86.45,71.02,26.62,97.95,199.43,162.37,0,0
Depreciation,140.69,191.17,230.34,261.2,300.74,319.16,395.72,450.4,478.72,492.06,536.51,536.51,536.51
Interest,5.53,5.77,5.06,6.95,12.19,10.53,15.1,29.6,33.17,42.24,36.79,36.79,36.79
Profit before tax,722.64,702.21,714.2,730.37,840.68,873.33,689.8,997.04,1211.03,1299.15,1098.4,1357.81113717666,1013.43423308879
Tax,231.01,223.72,242.88,246.88,179.86,226.52,178.55,266.33,305.17,335.25,283.49,25.8093590677349%,25.8093590677349%
Net profit,491.63,478.49,471.32,483.49,660.82,646.81,511.25,730.71,905.86,963.9,814.91,1007.36878532104,751.87335295556
EPS,28.7839578454333,28.0146370023419,27.5948477751756,28.3073770491803,38.6896955503513,37.8694379391101,29.9326697892272,42.7816159250586,49.5005464480874,52.672131147541,44.5244195731286,55.039833187109,41.0802722176048
Price to earning,30.4892052966662,31.7708917636732,28.8097258762624,25.43329955118,12.3560031476045,22.5458851903959,17.9202190709046,13.5361880910347,15.3614465811494,19.048023653906,18.4314586886895,18.4314586886895,16.5942792536949
Price,877.6,890.05,795,719.95,478.05,853.8,536.4,579.1,760.4,1003.3,820.65,1014.46441162056,681.69750899674
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,14.7651689278523%,15.170640974733%,15.0386149537469%,25.01189269685%,28.4313428770316%,29.0471699571744%,15.0337408312958%,14.2587346553352%,19.9997792153313%,19.9346405228758%,,,
OPM,17.8651554000208%,16.034153634936%,14.6053489350816%,14.0617478592279%,16.0620867729324%,15.6170625818219%,11.8401714846904%,13.9601586569789%,14.4309654272089%,13.1723860509847%,11.5544229065919%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,11.6052482380017%,10.7782395168603%,12.6455969154944%,12.5712422597221%,10.1648268696216%,12.5712422597221%,10.1648268696216%
,,,,,,OPM,14.4251080418821%,14.0232229030061%,13.738527146075%,13.8288763144217%,11.5544229065919%,13.8288763144217%,11.5544229065919%
,,,,,,Price to Earning,21.4274860828606,18.0790654968581,17.8072035460134,16.5942792536949,18.4314586886895,18.4314586886895,16.5942792536949
