ASM TECHNOLOGIES LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,03/31/2017,03/31/2018,03/31/2019,03/31/2020,03/31/2021,03/31/2022,03/31/2023,03/31/2024,03/31/2025,03/31/2026,Trailing,Best Case,Worst Case
Sales,81.43,82.63,88.03,92.01,137.39,191.67,220.41,201.65,288.81,528.52,528.52,967.187391018317,650.600548935152
Expenses,75.24,80.21,82.57,89.64,120.49,170.69,199.66,195.85,241.47,427.98,427.99,783.218291610401,572.785654909419
Operating Profit,6.19000000000001,2.42,5.45999999999999,2.37,16.9,20.98,20.75,5.80000000000001,47.34,100.54,100.53,183.969099407915,77.8148940257332
Other Income,1.15,1.94,5.45,4.13,3.25,6.93,6.31,4.84,8.42,6.38,6.38,0,0
Depreciation,1.74,1.36,1.21,2.95,3.57,4.44,8.51,11.34,9.87,13.97,13.97,13.97,13.97
Interest,1.16,0.23,0.72,1.69,2.83,5.58,7.18,9.93,11.76,8.83,8.83,8.83,8.83
Profit before tax,4.44,2.77,8.98,1.86,13.75,17.89,11.37,-10.63,34.13,84.12,84.11,161.169099407915,55.0148940257332
Tax,3.1,3.53,1.98,1.17,5.14,4,4.22,-3.49,9.06,23.36,23.35,27.7612650101058%,27.7612650101058%
Net profit,1.34,-0.76,6.96,1.24,8.51,14.61,9.55,-4.3,26.23,60.76,60.76,116.426518606883,39.7420635002206
EPS,1.21818181818182,-0.690909090909091,6.32727272727273,1.12727272727273,7.73636363636364,13.2818181818182,8.68181818181818,-3.64406779661017,22.0420168067227,41.6164383561644,41.6544882573993,79.8171009242971,27.2454792197952
Price to earning,41.3731343283582,-92.2552631578948,7.65574712643678,27.0653225806452,13.2930669800235,42.9158110882957,44.0806282722513,-244.438372093023,57.7828250095311,58.4144173798552,78.7898288347597,78.7898288347597,41.2634201777952
Price,50.4,63.74,48.44,30.51,102.84,570,382.7,890.75,1273.65,2431,3281.95,6288.77571991211,1124.2416569918
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,186.567164179104%,0%,43.1034482758621%,100.806451612903%,82.256169212691%,58.1793292265572%,75.4973821989529%,0%,13.5722455203965%,28.8183015141541%,,,
OPM,7.60162102419257%,2.92871838315382%,6.20243098943541%,2.57580697750245%,12.3007496906616%,10.9458965931027%,9.41427339957352%,2.87627076617903%,16.3913991897788%,19.0229319609475%,19.0210398849618%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,23.0985674970015%,29.1827094822059%,30.9246014576497%,33.8474322154857%,82.9992036286832%,82.9992036286832%,23.0985674970015%
,,,,,,OPM,11.9604716216569%,12.928947400118%,13.6549131413078%,15.0817484150817%,19.0210398849618%,19.0210398849618%,11.9604716216569%
,,,,,,Price to Earning,41.2634201777952,46.0488428779088,56.3967021169386,64.9956904080487,78.7898288347597,78.7898288347597,41.2634201777952
