AXIS BANK LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,03/31/2017,03/31/2018,03/31/2019,03/31/2020,03/31/2021,03/31/2022,03/31/2023,03/31/2024,03/31/2025,03/31/2026,Trailing,Best Case,Worst Case
Sales,45175.09,46614.06,56043.65,63715.68,64397.36,68846.06,87448.37,112759.05,127374.09,132538.24,132538.24,152243.125986926,137911.761036311
Expenses,24326.86,29716.53,28019.71,35975.61,32620.99,31216.48,30643.6,40035.65,46394.91,55843.49,55843.49,58121.5711247271,60789.580943595
Operating Profit,20848.23,16897.53,28023.94,27740.07,31776.37,37629.58,56804.77,72723.4,80979.18,76694.75,76694.75,94121.5548621988,77122.1800927162
Other Income,12421.6,11862.62,14188.75,16341.99,13576.92,17268.13,18348.93,25230.31,28542.77,29673.71,29673.71,0,0
Depreciation,526.67,590.58,737.17,806.07,975.83,1045.59,13143.37,1384.97,1763.48,0,0,0,0
Interest,26789.35,27603.69,33883.47,37995.94,34627.38,34922.66,43389.15,61390.74,71036.31,74074.99,74074.99,74074.99,74074.99
Profit before tax,5953.81,565.88,7592.05,5280.05,9750.08,18929.46,18621.18,35178,36722.16,32293.47,32293.47,20046.5648621988,3047.19009271619
Tax,1986.78,101.86,2544.96,3401.29,2497.69,4765.11,7768.52,8754.46,8610.42,5799.65,5799.65,17.9592035169959%,17.9592035169959%
Net profit,3953.03,455.82,5038.59,1853.11,7195.5,14119.29,10818.45,26386.2,28055.11,26384.85,26384.85,16446.3614804299,2499.93902241556
EPS,16.5053444676409,1.7760374050263,19.5932104526365,6.56735301414041,23.4863074060776,45.995667329055,35.1602262016965,85.4862956003369,90.5763220765804,84.8878772279776,84.8670011628565,52.8998034434308,8.04106629078472
Price to earning,29.735822900408,287.437639857839,39.6693539263961,57.7097042269482,29.6960261969286,16.5482977897614,24.416793995443,12.2499166988805,12.1665350804185,13.6803986378547,14.6676562497039,14.6676562497039,13.1911266667144
Price,490.8,510.5,777.25,379,697.45,761.15,858.5,1047.2,1102,1161.3,1244.8,775.916132585146,106.070723977188
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,30.2937240547125%,0%,5.1038088036534%,0%,0%,2.17418864546305%,2.84403033706307%,1.16977814160432%,1.10404129586375%,1.17802451027768%,,,
OPM,46.1498361154344%,36.2498568028616%,50.0037738441376%,43.5372737134721%,49.3442122472101%,54.6575650080774%,64.9580661137538%,64.4945128572828%,63.5758653898921%,57.8661298052547%,57.8661298052547%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,12.7036598455943%,13.0842474987213%,15.5299611021278%,14.867321300574%,4.05431748324953%,14.867321300574%,4.05431748324953%
,,,,,,OPM,55.9213946027493%,58.4934547809597%,61.4088233793409%,61.8231885689746%,57.8661298052547%,61.8231885689746%,55.9213946027493%
,,,,,,Price to Earning,48.907104141871,22.6419161094923,15.6215997420103,13.1911266667144,14.6676562497039,14.6676562497039,13.1911266667144
