BALRAMPUR CHINI MILLS LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,03/31/2017,03/31/2018,03/31/2019,03/31/2020,03/31/2021,03/31/2022,03/31/2023,03/31/2024,03/31/2025,03/31/2026,Trailing,Best Case,Worst Case
Sales,3460.14,4342.54,4285.78,4741.29,4811.66,4846.03,4665.86,5593.74,5415.38,6271.15,6271.14,7262.15377729725,6612.37696783216
Expenses,2557.26,3888.05,3594.68,4059.32,4097.82,4138.89,4144.32,4807.56,4704.69,5529.87,5529.87,6321.55565720666,5830.77160183094
Operating Profit,902.88,454.49,691.1,681.97,713.839999999999,707.139999999999,521.54,786.18,710.690000000001,741.28,741.27,940.598120090592,781.605366001229
Other Income,-7.51,37.86,47.48,51.68,46.52,36.31,64.93,206.02,117.56,73.27,73.28,0,0
Depreciation,105.03,95.16,95.85,101.42,111.88,113.86,129.5,166.36,172.54,177.17,177.18,177.18,177.18
Interest,55.43,52.03,40.94,64.17,39.3,30.87,48.65,83.63,93.46,77.22,77.22,77.22,77.22
Profit before tax,734.91,345.16,601.79,568.06,609.18,598.72,408.32,742.21,562.25,560.16,560.15,686.198120090592,527.205366001229
Tax,142.15,113.49,25.97,48.7,129.39,134.08,124.15,207.74,125.33,181.7,181.69,32.4359546550031%,32.4359546550031%
Net profit,592.99,231.66,575.82,519.35,479.79,464.64,284.17,534.47,436.92,378.46,378.46,463.623209014524,356.201272546327
EPS,25.2336170212766,10.1427320490368,25.2110332749562,23.6068181818182,22.8471428571429,22.7764705882353,14.0887456618741,26.4982647496282,21.6404160475483,18.7356435643564,18.7402380262752,22.9572723443369,17.6380506071456
Price to earning,5.76017302146748,7.45854269187603,5.43809523809524,4.40762491576008,9.38848246107672,21.4870867768595,28.0897966006264,13.6593849982225,25.2998832738259,26.5323151720129,28.553532737938,28.553532737938,16.0068107170692
Price,145.35,75.65,137.1,104.05,214.5,489.4,395.75,361.95,547.5,497.1,535.1,655.511227457781,282.328937486666
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,13.8703856726083%,24.648191314858%,9.91629328609635%,10.5901607778954%,10.9422872506722%,10.9762396694215%,17.7429003765352%,11.3214960615189%,13.8629497390827%,18.6809702478465%,,,
OPM,26.0937418717162%,10.4659945561814%,16.1254194102357%,14.383638208167%,14.8356284525507%,14.5921506882954%,11.1777893035796%,14.0546396507525%,13.1235481166603%,11.8204794973809%,11.8203388857528%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,6.83039527765106%,5.58853379151134%,5.44122707884316%,10.3583406380106%,15.802584490839%,15.802584490839%,5.44122707884316%
,,,,,,OPM,14.2692558074905%,13.3790763049004%,12.9397181862157%,12.9520545685918%,11.8203388857528%,12.9520545685918%,11.8203388857528%
,,,,,,Price to Earning,16.0068107170692,19.6772633670402,23.9369999265809,23.5112790454998,28.553532737938,28.553532737938,16.0068107170692
