BANK OF BARODA,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,03/31/2017,03/31/2018,03/31/2019,03/31/2020,03/31/2021,03/31/2022,03/31/2023,03/31/2024,03/31/2025,03/31/2026,Trailing,Best Case,Worst Case
Sales,44473.45,46056.42,52906.25,78894.7,74313.98,73385.46,94502.62,118379.22,127944.77,134298.12,134298.12,150988.995030485,140966.958129937
Expenses,19250.18,26093.14,25814.75,40582.82,38635.98,37518.18,38239.41,44386.75,45533.3,50020.82,50020.82,55513.1474758303,61059.2451409567
Operating Profit,25223.27,19963.28,27091.5,38311.88,35678,35867.28,56263.21,73992.47,82411.47,84277.3,84277.3,95475.8475546544,79907.7129889801
Other Income,7936.78,7992.21,7887.05,12191.33,15253.65,14394.73,16275.36,23399.49,24939.37,22527.32,22527.32,0,0
Depreciation,539.97,900.69,948.25,1697.23,1357.31,1438.24,2031.86,1693.53,1466.95,0,0,0,0
Interest,29595.73,29160.48,32505.72,50039.89,43201.18,38815.47,49942.17,69899.08,78264.92,81859.93,81859.93,81859.93,81859.93
Profit before tax,3024.35,-2105.68,1524.58,-1233.91,6373.16,10008.3,20564.54,25799.35,27618.97,24944.69,24944.69,13615.9175546544,-1952.21701101986
Tax,1246.93,-193.62,437.51,-2176.09,4919.27,2308.07,5876.67,7389.71,7159.61,5467.53,5467.53,21.9186127388234%,21.9186127388234%
Net profit,1814.98,-1887.11,1100.1,927.75,1547.67,7849.69,14905.2,18767.38,20716.33,19846.42,19846.42,10631.4973150122,-1524.31812455299
EPS,7.87683360819373,-7.13328293328293,4.15838215838216,2.00785612258148,2.99274857872143,15.1790424256488,28.8223691843601,36.2907143133388,40.0594229802375,38.3772672777198,38.3775485754068,20.5584082487516,-2.94761437425013
Price to earning,21.9567923613483,-19.9487390772133,30.9375124988637,26.6702376717866,24.7598480296187,7.35224244524306,5.85829703727558,7.27596590467076,5.70477513150254,6.45173608136883,6.91550163707107,6.91550163707107,6.5869946886533
Price,172.95,142.3,128.65,53.55,74.1,111.6,168.85,264.05,228.53,247.6,265.4,142.171705899817,-19.4159202273837
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,15.2756504203903%,0%,0%,0%,0%,18.7985767590822%,19.105479966723%,20.967284724879%,20.8692369739235%,22.1752840058812%,,,
OPM,56.7153436488512%,43.3452708656035%,51.2066154754873%,48.5607778469276%,48.0098091906799%,48.8751859019484%,59.536137728245%,62.5046101841185%,64.4117536027459%,62.7538940976985%,62.7538940976985%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,13.0654463027818%,14.2338220248474%,12.5640945723809%,12.4282268660832%,4.9656973082995%,12.4282268660832%,4.9656973082995%
,,,,,,OPM,56.6854205049419%,57.9721634106833%,60.6755783333761%,63.2336466213169%,62.7538940976985%,63.2336466213169%,56.6854205049419%
,,,,,,Price to Earning,14.3882908798749,11.3735754923171,6.59308637285531,6.5869946886533,6.91550163707107,6.91550163707107,6.5869946886533
