BERGER PAINTS INDIA LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,03/31/2017,03/31/2018,03/31/2019,03/31/2020,03/31/2021,03/31/2022,03/31/2023,03/31/2024,03/31/2025,03/31/2026,Trailing,Best Case,Worst Case
Sales,4552.25,5165.73,6061.86,6365.82,6817.59,8761.78,10567.84,11198.92,11544.71,11880.25,11880.25,12352.9882943541,12225.5422667611
Expenses,3833.34,4358.73,5127.22,5313.13,5635.22,7430.71,9090.05,9337.6,9688.25,10046.95,10046.95,10372.4931487776,10338.9585132498
Operating Profit,718.91,806.999999999999,934.639999999999,1052.69,1182.37,1331.07,1477.79,1861.32,1856.46,1833.3,1833.3,1980.4951455765,1886.58375351135
Other Income,108.44,46.5,60.03,68.52,51.49,68.45,47.81,104.7,129.47,104.46,104.46,0,0
Depreciation,108.05,124.21,182.27,191.01,211.14,226.51,264.03,330.88,354.19,392.09,392.09,392.09,392.09
Interest,16.22,24.55,47.24,47.04,44.1,50.72,99.23,78.25,63.27,57.57,57.57,57.57,57.57
Profit before tax,703.08,704.74,765.16,883.16,978.62,1122.29,1162.34,1556.89,1568.47,1488.1,1488.1,1530.8351455765,1436.92375351135
Tax,229.42,243.91,271.27,227.06,258.9,289.34,301.94,387.07,385.66,360.08,360.08,24.1972985686446%,24.1972985686446%
Net profit,473.66,460.83,494.3,657.81,719.75,832.82,859.42,1167.74,1180.4,1126.87,1126.85,1160.41439480761,1089.22702267043
EPS,4.0650532097494,3.95494335736354,4.24146215891539,5.64401544401544,6.17493136582018,7.14498970487303,7.37256584026765,10.0166409332647,10.1243674414615,9.66440823327616,9.66421355257013,9.95207216656802,9.34154728164104
Price to earning,49.6303466621627,54.0892702298027,63.6077819138175,73.5221234094952,103.240013893713,81.6068355707116,65.7505148821298,57.2097975576755,49.4055557438157,42.423704597691,51.8562630341217,51.8562630341217,50.223830233326
Price,201.75,213.92,269.79,414.96,637.5,583.08,484.75,573.05,500.2,410,501.15,516.077272004113,469.168284789727
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,35.8738335514926%,37.9272182800599%,37.3275338863039%,32.4805034888494%,37.785342132685%,36.1542710309551%,36.1697423843988%,34.9418534947848%,37.5330396475771%,41.3889800953083%,,,
OPM,15.7924103465319%,15.6221869900285%,15.4183699392596%,16.5365970134248%,17.3429320331671%,15.1917761002901%,13.9838415418856%,16.6205312655149%,16.080611812683%,15.4314934450033%,15.4314934450033%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,11.2471338133066%,10.0894414384741%,11.7477892265963%,3.97919483473945%,2.90643939951719%,3.97919483473945%,2.90643939951719%
,,,,,,OPM,15.7453711101798%,15.7811850441136%,15.4947130399325%,16.0325185969914%,15.4314934450033%,16.0325185969914%,15.4314934450033%
,,,,,,Price to Earning,62.940200681376,65.6268510861692,58.0421118976909,50.223830233326,51.8562630341217,51.8562630341217,50.223830233326
