BLS INTERNATIONAL SERVICES LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,03/31/2017,03/31/2018,03/31/2019,03/31/2020,03/31/2021,03/31/2022,03/31/2023,03/31/2024,03/31/2025,03/31/2026,Trailing,Best Case,Worst Case
Sales,634.89,789.05,803.83,786.14,478.37,849.89,1516.19,1676.81,2193.3,2998.22,2998.22,4098.53789650299,3562.62999622249
Expenses,550.75,629.16,692.73,700.35,437.48,741.68,1293.26,1326.17,1544.62,2179.35,2179.35,2979.15048420189,2826.08512176882
Operating Profit,84.14,159.89,111.1,85.79,40.89,108.21,222.93,350.64,648.68,818.87,818.87,1119.3874123011,736.544874453676
Other Income,2.51,3.96,42.56,-15.22,18.64,14.82,18.62,39.94,80.12,95.16,95.16,0,0
Depreciation,25.97,39.6,19.03,12.15,9.46,7.25,18.49,30.94,76.54,93.65,93.65,93.65,93.65
Interest,7.34,13.44,12.94,3.6,1.71,1.82,2.57,7.56,46.74,23.24,23.24,23.24,23.24
Profit before tax,53.34,110.81,121.69,54.82,48.36,113.96,220.49,352.08,605.52,797.14,797.14,1002.4974123011,619.654874453676
Tax,3.22,14.27,16.53,2.44,-1.96,2.75,16.22,26.46,65.88,73.34,73.35,9.20164588403543%,9.20164588403543%
Net profit,50.08,96.54,105.22,52.43,50.15,111.27,200.76,312.97,508.23,686.7,686.7,910.251150424533,562.636427203285
EPS,1.22146341463415,2.35578330893119,2.56759394826745,1.27940458760371,1.22376769155686,2.71522693997072,4.88704965920156,7.60189458343454,12.344668447899,16.6796210833131,16.6779701151302,22.1073852978641,13.6648223657784
Price to earning,35.0071884984026,12.3186202610317,11.1933586770576,5.69796299828343,18.8352741774676,21.6703801563764,33.9059374377366,41.15421446145,32.2932933907876,14.1280187854958,16.0511140235911,25.9066601653311,16.0511140235911
Price,42.76,29.02,28.74,7.29,23.05,58.84,165.7,312.85,398.65,235.65,267.7,572.728518055803,219.335621905227
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,7.1685303514377%,5.30350113942407%,9.74149401254514%,19.5498760251764%,10.209371884347%,11.5125370719871%,15.3466826060968%,13.1546154583506%,8.10066308561085%,2.99694189602446%,,,
OPM,13.2526894422656%,20.2636081363665%,13.8213303808019%,10.9128145114102%,8.54777682546982%,12.7322359364153%,14.7033023565648%,20.9111348334039%,29.5755254639128%,27.3118717105483%,27.3118717105483%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,18.8248359434096%,20.6900109258474%,44.3510383415985%,25.517213602008%,36.6990379793006%,36.6990379793006%,18.8248359434096%
,,,,,,OPM,20.6741894396736%,21.6785155044519%,23.2752281954126%,26.4720827333573%,27.3118717105483%,27.3118717105483%,20.6741894396736%
,,,,,,Price to Earning,22.0232148061528,22.9670244288986,26.5338263759063,25.9066601653311,16.0511140235911,25.9066601653311,16.0511140235911
