BHARAT PETROLEUM CORPORATION LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,03/31/2017,03/31/2018,03/31/2019,03/31/2020,03/31/2021,03/31/2022,03/31/2023,03/31/2024,03/31/2025,03/31/2026,Trailing,Best Case,Worst Case
Sales,201250.66,235895.11,298225.59,284571.9,230170.81,346791.08,473187.18,448083.03,440271.86,455228.03,455228.03,470692.265678031,449394.414611018
Expenses,187467.86,220577.66,283113.36,275596.69,209169.76,327653.78,462288.35,404000.86,414870.48,414025.86,414468.62,428548.24603012,421102.438452255
Operating Profit,13782.8,15317.45,15112.23,8975.21000000002,21001.05,19137.3,10898.83,44082.17,25401.38,41202.17,40759.41,42144.019647911,28291.9761587627
Other Income,2720.81,2926.81,2974.86,1393.46,7488.59,4939.42,2036.5,3032.42,3629.05,4398.93,4841.69,0,0
Depreciation,2107.64,2885,3417.77,4080.09,4334.21,5434.35,6368.82,6771.26,7256.69,7856.37,7856.37,7856.37,7856.37
Interest,696.36,1185.74,1763.95,2637.01,1723.41,2605.64,3745.38,4148.89,3591.44,2953.49,2953.49,2953.49,2953.49
Profit before tax,13699.61,14173.52,12905.37,3651.57,22432.02,16036.73,2821.13,36194.44,18182.3,34791.24,34791.24,31334.159647911,17482.1161587627
Tax,4192.64,4381.61,4377.52,-14.21,5112.19,4355.23,690.08,9335.6,4845.75,8947.79,8947.79,25.7185142007011%,25.7185142007011%
Net profit,8720.94,9008.63,7802.3,3055.36,16164.98,11681.5,2131.05,26858.84,13336.55,25843.45,25843.45,23275.4793491926,12985.9756318883
EPS,20.1012792439783,20.7643886135761,17.9838653912643,7.04243402097499,37.2593753601475,26.9252045637893,4.91195113518497,61.9081249279705,30.7400023049441,59.5677077330875,59.5676334164079,53.6486119873267,29.9319106386619
Price to earning,10.7764285730667,10.293103446362,11.0532410955744,22.4993233203289,5.74298409277339,6.6733012027565,35.0471727552146,4.86527415182488,9.05888025763785,4.71732102331539,4.96242645622005,5.90097547224954,4.96242645622005
Price,216.62,213.73,198.78,158.45,213.98,179.68,172.15,301.2,278.47,281,295.6,316.579143457448,148.53490523851
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,48.8658332702667%,45.8499239062987%,47.8970303628417%,106.218252513615%,102.282774244076%,29.1668022086205%,39.9699678562211%,33.4058358439903%,32.0366211651439%,0%,,,
OPM,6.84857381337284%,6.49333087065687%,5.06738204457907%,3.1539340321374%,9.12411526031472%,5.51839453310044%,2.30328091306277%,9.83794677517692%,5.76947615957104%,9.05088599223559%,8.95362484599202%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,9.49340578045783%,6.22838627354205%,14.6134933700487%,-1.28147104407921%,3.39703064374817%,3.39703064374817%,-1.28147104407921%
,,,,,,OPM,6.29557805769603%,6.3733660185962%,6.50417706237455%,8.23810115121143%,8.95362484599202%,8.95362484599202%,6.29557805769603%
,,,,,,Price to Earning,11.4263142159159,11.6958354075089,10.8873959744949,5.90097547224954,4.96242645622005,5.90097547224954,4.96242645622005
