BRITANNIA INDUSTRIES LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,03/31/2017,03/31/2018,03/31/2019,03/31/2020,03/31/2021,03/31/2022,03/31/2023,03/31/2024,03/31/2025,03/31/2026,Trailing,Best Case,Worst Case
Sales,9054.09,9913.99,11054.67,11599.55,13136.14,14136.26,16300.55,16769.27,17942.67,19151.59,19151.59,20441.9631820738,20208.7303114771
Expenses,7775.91,8412.52,9322.22,9756.37,10626.85,11934.95,13469.64,13602.62,14766.26,15637.25,15637.25,16690.8381376629,16756.6504106065
Operating Profit,1278.18,1501.47,1732.45,1843.18,2509.29,2201.31,2830.91,3166.65,3176.41,3514.34,3514.34,3751.12504441089,3452.07990087059
Other Income,150.54,166.37,206.45,262.83,313.07,221.85,596.87,211.28,202.3,224.03,224.03,0,0
Depreciation,119.27,142.07,161.88,184.81,197.85,200.54,225.91,300.46,313.34,336.83,336.83,336.83,336.83
Interest,5.45,7.59,9.09,76.9,110.9,144.29,169.1,164,138.8,112.76,112.76,112.76,112.76
Profit before tax,1304,1518.18,1767.93,1844.3,2513.61,2078.33,3032.77,2913.47,2926.57,3288.78,3288.78,3301.53504441089,3002.48990087059
Tax,419.67,514.22,612.47,450.7,663.02,562.35,716.45,779.25,748.71,751.77,751.77,22.8586284275628%,22.8586284275628%
Net profit,884.47,1004.23,1159.12,1402.63,1863.9,1524.82,2321.77,2139.81,2178.73,2533.49,2533.49,2546.84941620324,2316.16189085549
EPS,36.8529166666667,41.8254893794252,48.2363712026633,58.3214137214137,77.3723536737235,63.296803652968,96.37899543379,88.8256537982565,90.4412619344126,105.167704441677,105.181548662647,105.736184396549,96.1588538472951
Price to earning,45.7765667574932,59.4207034245143,63.9662545724343,46.1057067794073,46.8520062771608,50.6565863511759,44.8453522528071,55.2908961543315,54.5868102059457,51.5652597799873,50.6885482082029,53.0328785871168,50.0738957511273
Price,1687,2485.3,3085.5,2688.95,3625.05,3206.4,4322.15,4911.25,4936.9,5423,5331.5,5607.4942293672,4815.04842309734
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,29.8483837778557%,29.8855839797656%,31.0968665884464%,60.0122626779692%,203.561349857825%,89.261683346231%,74.7050741460179%,82.7465989971072%,82.9267509053439%,86.052836206182%,,,
OPM,14.1171558930826%,15.1449618165844%,15.6716573176766%,15.8900991848822%,19.1021867915537%,15.5720820075466%,17.3669600105518%,18.8836484832077%,17.7031066167967%,18.3501213215195%,18.3501213215195%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,8.68037149843437%,8.16684201065241%,7.83193871420602%,5.51985663580452%,6.73768173855955%,6.73768173855955%,5.51985663580452%
,,,,,,OPM,17.0821216754526%,17.6474602019167%,17.6625859397483%,18.3006943659281%,18.3501213215195%,18.3501213215195%,17.0821216754526%
,,,,,,Price to Earning,51.7958809784964,50.0738957511273,51.2722421587417,53.0328785871168,50.6885482082029,53.0328785871168,50.0738957511273
