BAJAJ FINANCE LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,03/31/2017,03/31/2018,03/31/2019,03/31/2020,03/31/2021,03/31/2022,03/31/2023,03/31/2024,03/31/2025,03/31/2026,Trailing,Best Case,Worst Case
Sales,9970.04,12746.27,18487.14,26375.42,26672.87,31632.52,41411.21,54973.9,69709.44,81982.38,82322.06,102940.922507941,96475.8790591863
Expenses,3250.38,4114.85,5454.21,9158.93,10839.32,11879.54,12692.75,16098.7,21754.29,26249.16,26588.84,31929.506527461,31507.2860438241
Operating Profit,6719.66,8631.42,13032.93,17216.49,15833.55,19752.98,28718.46,38875.2,47955.15,55733.22,55733.22,71011.4159804802,64968.5930153622
Other Income,21.89,10.2,13.04,7.93,3.33,-16.95,-4.61,3.71,-2.35,-241.64,-241.64,0,0
Depreciation,71.17,102.07,144.15,294.63,325.27,384.57,485.38,683.32,880.99,1008.98,1008.98,1008.98,1008.98
Interest,3852.97,4696.11,6722.66,9607.67,9519.35,9847.68,12700.61,18886.02,24992.18,28665.95,28665.95,28665.95,28665.95
Profit before tax,2817.41,3843.44,6179.16,7322.12,5992.26,9503.78,15527.86,19309.57,22079.63,25816.65,25816.65,41336.4859804802,35293.6630153622
Tax,981.03,1347.07,2184.17,2058.37,1572.44,2475.55,4020.17,4858.4,5300.15,6484.29,6484.29,25.1166979449309%,25.1166979449309%
Net profit,1836.38,2496.37,3994.99,5263.75,4419.82,7028.23,11507.69,14451.17,16637.82,19017.39,19017.39,30954.1256557143,26429.0602820919
EPS,3.33947990543735,4.31927815073708,6.91222575956814,8.74842108762133,7.33482691094958,11.6088500545076,19.0077797231674,23.3459935379645,26.7738727430723,30.5622981116914,30.5453414179729,49.7178811839388,42.4498140739967
Price to earning,35.0683349851338,40.9235047689245,43.7630382053522,25.3279989361197,70.2116091153034,62.538494044731,29.5500057439851,31.0344470378523,33.4116774433189,26.2267581145467,29.8065092002635,30.1198479489954,29.8065092002635
Price,117.11,176.76,302.5,221.58,514.99,726,561.68,724.53,894.56,801.55,910.45,1497.49502160646,1265.28077374606
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,10.7205480347205%,9.21578131446861%,8.66360116045347%,11.397767751128%,13.6114140394858%,17.1679071402046%,15.7577237482066%,15.3952932530722%,20.8967280569209%,19.6175184922852%,,,
OPM,67.3985259838476%,67.7172223717213%,70.4972754033344%,65.2747520229062%,59.3620034139558%,62.4451671887033%,69.3494829057156%,70.715739650998%,68.7929066708899%,67.9819492920308%,67.7014399299532%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,26.3773636270846%,23.7106976325002%,25.1786186370781%,25.5646914714371%,17.6058508001212%,25.5646914714371%,17.6058508001212%
,,,,,,OPM,67.5121019911184%,67.3417994724931%,68.2976603042908%,68.9826885658638%,67.7014399299532%,68.9826885658638%,67.3417994724931%
,,,,,,Price to Earning,38.8965797814119,38.5134374545151,35.4279819307829,30.1198479489954,29.8065092002635,30.1198479489954,29.8065092002635
