BHARTIYA INTERNATIONAL LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,03/31/2016,03/31/2017,03/31/2018,03/31/2019,03/31/2020,03/31/2021,03/31/2022,03/31/2023,03/31/2024,03/31/2025,Trailing,Best Case,Worst Case
Sales,622.22,641.94,710.52,748,720.7,548.39,693.51,798.6,777.52,1029.26,1286.45,1362.50662053709,1099.20317327984
Expenses,568.87,597.54,661.28,688.1,660.64,520.64,683.95,711.55,699.55,928.01,1177.68,1223.25835815294,1013.18511915973
Operating Profit,53.35,44.4,49.24,59.9,60.0600000000001,27.75,9.55999999999995,87.0500000000001,77.97,101.25,108.77,139.248262384148,86.0180541201136
Other Income,-2.31,6.08,7.21,12.78,4.36,4.89,32.17,51.54,6.94,5.54,17.4,0,0
Depreciation,6.05,6.02,7.48,8.13,9.98,10.33,23.81,25.23,25.53,25.75,25.84,25.84,25.84
Interest,13.06,18.38,23.11,35.24,28.82,28.2,29.03,44.86,52.44,56.09,48.5,48.5,48.5
Profit before tax,31.93,26.08,25.86,29.31,25.62,-5.89,-11.11,68.5,6.94,24.95,51.83,64.9082623841481,11.6780541201136
Tax,9.21,8.08,8.43,9.55,4.36,0.29,5.46,5.93,6.74,9.32,14.69,28.3426586918773%,28.3426586918773%
Net profit,24.71,18.05,17.47,19.79,21.27,-6.15,-16.53,62.61,0.22,15.66,37.13,46.5115351137808,8.3681830989971
EPS,21.1196581196581,15.4273504273504,14.3196721311475,16.2213114754098,17.4344262295082,-5.04098360655738,-13.5491803278689,51.3196721311475,0.180327868852459,12.0461538461538,27.6875575873196,34.6832967125625,6.24009026271794
Price to earning,21.6149332254148,34.085567867036,27.6053806525472,16.7711470439616,4.19572167371885,-33.7136585365854,-18.4808227465215,3.30477559495288,1442.37272727273,37.4393358876118,26.5408025855104,377.414410335201,26.5408025855104
Price,456.5,525.85,395.3,272.05,73.15,169.95,250.4,169.6,260.1,451,734.85,13089.9759772526,165.617003778562
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,5.70619182517199%,7.81163434903047%,8.35718374356039%,7.37746336533603%,0%,0%,0%,0%,0%,0%,,,
OPM,8.57413776477774%,6.9165342555379%,6.93013567528008%,8.00802139037433%,8.33356458998197%,5.0602673279965%,1.37849490274112%,10.9003255697471%,10.0280378639778%,9.83716456483299%,8.45505072097633%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,5.75156230350842%,5.43691346572666%,7.38759459993454%,14.0663266248597%,32.3773021915835%,32.3773021915835%,5.43691346572666%
,,,,,,OPM,7.82549179360991%,7.96729859781263%,7.8907695826662%,10.2200062946672%,8.45505072097633%,10.2200062946672%,7.82549179360991%
,,,,,,Price to Earning,179.325599089276,255.104085009747,377.414410335201,377.414410335201,26.5408025855104,377.414410335201,26.5408025855104
