CANARA BANK,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,03/31/2017,03/31/2018,03/31/2019,03/31/2020,03/31/2021,03/31/2022,03/31/2023,03/31/2024,03/31/2025,03/31/2026,Trailing,Best Case,Worst Case
Sales,41456.66,41345.32,47951.1,49758.75,70253.27,70613.79,85884.73,110518.75,121601.11,126371.2,126371.2,143733.773611981,131328.408017328
Expenses,15691.18,25582.04,27202.14,26808.56,43437.36,41235.37,42772.1,46146.05,46082.41,39264.24,39264.24,44658.8889177793,60749.6634745864
Operating Profit,25765.48,15763.28,20748.96,22950.19,26815.91,29378.42,43112.63,64372.7,75518.7,87106.96,87106.96,99074.8846942013,70578.7445427417
Other Income,7852.26,7398,9907.16,11799.4,23086.18,23643.1,25325.04,28646.18,31056.77,24878.99,24878.99,0,0
Depreciation,331.19,456.33,428.83,445.91,838.04,841.05,1020.96,901.73,869.77,0,0,0,0
Interest,31540.27,29112.9,32338.69,35817.19,45182.5,43035.47,52990.06,72117.59,82680.68,89137.52,89137.52,89137.52,89137.52
Profit before tax,1746.28,-6407.95,-2111.4,-1513.51,3881.55,9145,14426.65,19999.56,23025.02,22848.43,22848.43,9937.36469420127,-18558.7754572583
Tax,512.67,-2320.62,-2658.55,509,1179.57,3349.9,3618.86,5217.2,5689.03,5730.23,5730.23,25.0793161718333%,25.0793161718333%
Net profit,1358.28,-3951.4,601.85,-1986.43,2890.6,6124.82,11254.75,15278.56,17539.62,17872.88,17872.88,7445.1415833944,-13904.3614827119
EPS,4.54806629834254,-10.7779171894605,1.5980298444055,-3.85624708805715,3.51069385573922,6.75231239044396,12.4078075561974,16.8438599005589,19.3365671888608,19.7039699251436,19.7040759894684,8.20794608991693,-15.3289562309148
Price to earning,13.3133503401361,-4.89705005820722,36.4573917088976,-4.69368263668994,8.67065066076247,6.74583718378663,4.58501630866967,6.89924997512855,4.60267839326052,6.26523489778928,6.50779057432266,6.50779057432266,5.93430122215955
Price,60.55,52.78,58.26,18.1,30.44,45.55,56.89,116.21,89,123.45,128.23,53.41559419851,-90.9666436955478
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,4.3974732750243%,0%,0%,0%,0%,19.2524841546364%,19.3425886847775%,19.1166575907677%,20.6860809983341%,21.3153671932%,,,
OPM,62.1503999598617%,38.1259112276795%,43.2710824152105%,46.1229231039767%,38.170337124521%,41.6043665125466%,50.1982482799911%,58.2459537408811%,62.1036271790611%,68.9294396191537%,68.9294396191537%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,13.1836657322788%,14.8474514081981%,12.4595426957701%,13.7393437840114%,3.9227355737131%,13.7393437840114%,3.9227355737131%
,,,,,,OPM,53.7421762802677%,55.0007291320211%,58.1544601349021%,63.3205079089002%,68.9294396191537%,68.9294396191537%,53.7421762802677%
,,,,,,Price to Earning,10.4496888936393,6.32520828481711,5.93430122215955,6.06873846012525,6.50779057432266,6.50779057432266,5.93430122215955
