COAL INDIA LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,03/31/2017,03/31/2018,03/31/2019,03/31/2020,03/31/2021,03/31/2022,03/31/2023,03/31/2024,03/31/2025,03/31/2026,Trailing,Best Case,Worst Case
Sales,78163.6,85244.24,99585.61,96080.34,90026.01,109715.42,138251.91,144762.42,143368.92,168400.29,147443.11,197801.989943735,178421.337742371
Expenses,65715.7,75956.01,74578.83,74499.68,71398.49,84994.91,94019.87,96790.93,96305.38,127158.3,106201.12,138757.087097458,133231.219629164
Operating Profit,12447.9,9288.23000000001,25006.78,21580.66,18627.52,24720.51,44232.04,47971.49,47063.54,41241.99,41241.99,59044.9028462763,45190.1181132068
Other Income,5315.61,4974.88,5834.13,6444.41,3741.81,3865.93,6559.81,8395.91,9931.79,12034.03,12034.03,0,0
Depreciation,2906.75,3062.7,3450.36,3450.83,3717.85,4428.67,6832.94,6735.42,9145.49,10136.67,10136.67,10136.67,10136.67
Interest,410.44,430.1,263.68,502.92,642.24,541.49,684.31,819.37,883.65,1216.26,1216.26,1216.26,1216.26
Profit before tax,14446.32,10770.31,27126.87,24071.32,18009.24,23616.28,43274.6,48812.61,46966.19,41923.09,41923.09,47691.9728462763,33837.1881132068
Tax,5164.79,3732.31,9662.45,7370.98,5307.07,6237.86,11551.62,11443.48,11664.09,10852.51,10852.51,25.8867130261629%,25.8867130261629%
Net profit,9280.02,7038.56,17463.07,16714.19,12699.89,17358.1,31763.23,37402.29,35358.16,31094.29,31094.29,35346.0886990452,25077.8523302181
EPS,14.949930727841,11.3389825047524,28.3367192951142,27.1215376377237,20.6076719619647,28.166388109108,51.5410940010061,60.6914014960975,57.3744624920895,50.4556282149058,50.4553966127162,57.3546115385999,40.6927762465804
Price to earning,19.5753415402122,24.9846050896774,8.37076436159278,5.16379277129194,6.32531419563477,6.4988808394928,4.14523603235565,7.15257827796106,6.9403700305672,8.92764624952041,9.04858609088679,9.04858609088679,6.77530056096383
Price,292.65,283.3,237.2,140.05,130.35,183.05,213.65,434.1,398.2,450.45,456.55,518.97814021639,275.705789730631
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,133.111243294734%,145.515986224455%,46.2300156845274%,44.2455183290366%,77.641381145821%,60.3559145298161%,47.0500638631525%,42.0160369859706%,46.1880086520339%,53.0171295115598%,,,
OPM,15.9254435568474%,10.8960206578181%,25.1108367966014%,22.4610570695316%,20.6912646689551%,22.5314819010856%,31.9938003026504%,33.1380823835357%,32.8268776803229%,24.4904506993426%,27.9714596361946%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,8.9024340910369%,7.79343733959466%,13.3430686438877%,6.79655206836807%,17.4594117051311%,17.4594117051311%,6.79655206836807%
,,,,,,OPM,25.3277543398192%,27.5585320729785%,29.1312807615784%,29.8505100292832%,27.9714596361946%,29.8505100292832%,25.3277543398192%
,,,,,,Price to Earning,9.73937413447209,6.77530056096383,7.11888292013065,8.01729516223386,9.04858609088679,9.04858609088679,6.77530056096383
