COCHIN SHIPYARD LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,12/30/1899,03/31/2018,03/31/2019,03/31/2020,03/31/2021,03/31/2022,03/31/2023,03/31/2024,03/31/2025,03/31/2026,Trailing,Best Case,Worst Case
Sales,0,2355.12,2965.6,3422.49,2818.9,3190.95,2364.55,3830.45,4819.96,5021.87,5021.87,6455.12199054639,5232.23808846961
Expenses,0,1890.57,2394.27,2711,2096.13,2563.89,2102.77,2948.88,3925.42,4210.48,4210.49,5233.48023434049,4386.86906453581
Operating Profit,0,464.55,571.33,711.49,722.77,627.06,261.78,881.57,894.54,811.389999999999,811.38,1221.6417562059,845.369023933809
Other Income,0,189.07,225.81,245.06,203.45,260.06,268.79,310.17,389.01,409.82,409.83,0,0
Depreciation,0,37.51,34.2,48.94,59.83,68.02,68.84,74.58,103.18,129.79,129.79,129.79,129.79
Interest,0,11.87,15.43,49.89,58.26,53.16,43.29,46.22,55.2,92.38,92.61,92.61,92.61
Profit before tax,0,604.24,747.51,857.72,808.13,765.94,418.44,1070.94,1125.17,999.04,998.81,999.241756205899,622.969023933809
Tax,0,207.98,269.73,225.71,199.46,201.98,113.73,287.66,297.84,282.29,282.3,28.2636337241317%,28.2636337241317%
Net profit,0,396.36,478.13,632.01,608.66,563.96,304.71,783.28,827.33,716.74,716.51,716.819726213283,446.895340794359
EPS,0,14.5774181684443,18.1729380463702,24.0216647662486,23.1341695172938,21.4351957430635,11.581527936146,29.7711896617256,31.4454580007602,27.2421132649183,27.2353584436895,27.2471314886409,16.986999195195
Price to earning,,17.2307604198204,10.7742622299375,5.54416195946267,8.089765221963,6.86254521597276,20.5396042138427,29.2833443979165,44.7727617758331,43.7961617880961,56.2540787986211,56.2540787986211,24.3147446021466
Price,0,251.18,195.8,133.18,187.15,147.1,237.88,871.8,1407.9,1193.1,1532.1,1532.7622817984,413.034546988035
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0%,41.1570289635685%,35.764331876268%,34.6117941171817%,33.498176321756%,39.0683736435208%,73.3878113616225%,32.746910427944%,31.0033481198554%,5.50548315986271%,,,
OPM,0%,19.725109548558%,19.2652414351227%,20.7886655622076%,25.6401433183157%,19.651201052978%,11.0710283140555%,23.0147893850592%,18.5590751790471%,16.1571287189832%,16.1569295899735%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,,7.81494972469183%,12.2424555538247%,28.5402049544571%,4.189038913186%,28.5402049544571%,4.189038913186%
,,,,,,OPM,19.3130927067294%,19.2805654836809%,18.0797783207422%,18.9251536685908%,16.1569295899735%,18.9251536685908%,16.1569295899735%
,,,,,,Price to Earning,24.3147446021466,26.8928029214635,33.584749365047,43.5265866901167,56.2540787986211,56.2540787986211,24.3147446021466
