DEEPAK FERTILISERS & PETROCHEMICALS CORP LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,03/31/2016,03/31/2017,03/31/2018,03/31/2019,03/31/2020,03/31/2021,03/31/2022,03/31/2023,03/31/2024,03/31/2025,Trailing,Best Case,Worst Case
Sales,4309.21,4150.11,5994.86,6742.06,4685.38,5808.49,7663.29,11300.69,8676.09,10274.42,11162,12167.1981660402,11167.4275099564
Expenses,3951.64,3676.33,5450.95,6285.08,4220.79,4847.56,6307.16,9135.25,7389.22,8349.63,9352.21,10004.4991240645,9564.4636745533
Operating Profit,357.57,473.78,543.91,456.980000000001,464.59,960.929999999999,1356.13,2165.44,1286.87,1924.79,1809.79,2162.69904197569,1602.96383540311
Other Income,71.35,13.16,22.97,53.6,94.95,27.05,43.75,84.02,122.58,80.75,146.56,0,0
Depreciation,121.8,135.02,163.23,171.46,213.53,211.95,232.53,239.21,333.73,403.33,426.79,426.79,426.79
Interest,130.01,121.47,173.16,229.33,242.93,187.71,154.82,194.73,403.76,412.92,360.32,360.32,360.32
Profit before tax,177.11,230.45,230.49,109.79,103.08,588.32,1012.53,1815.52,671.96,1189.29,1169.24,1375.58904197569,815.853835403112
Tax,59.89,75.83,66.39,36.32,14.07,181.88,325.05,594.64,204.4,244.62,292.01,24.9743423078239%,24.9743423078239%
Net profit,116.27,154.31,162.67,70.67,87.26,400.31,678.27,1210.1,452.84,933.59,875.1,1032.04472588376,612.099705818028
EPS,11.4664694280079,15.2179487179487,16.0424063116371,6.96942800788955,8.49659201557936,38.9785783836417,56.2412935323383,95.8874801901743,35.8827258320127,73.9770206022187,69.3215478289752,81.7540142006548,48.4878288572347
Price to earning,12.4850984776813,16.5883066554339,17.436910309215,18.2941842365926,8.57637978455191,5.81344957657815,9.98110044672476,5.72233203867449,14.0485425315785,15.0884692423869,21.2617872243172,21.2617872243172,11.9859468433767
Price,143.16,252.44,279.73,127.5,72.87,226.6,561.35,548.7,504.1,1116.2,1473.9,1738.23645466813,581.172539233561
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,37.9289584587598%,34.2946017756464%,32.5321202434376%,37.4416301117872%,30.6898922759569%,19.237590867078%,16.0010025506067%,10.4321956863069%,23.6949032770957%,13.5219957368866%,,,
OPM,8.2978086470606%,11.416082947199%,9.0729391512062%,6.77804706573363%,9.91573789105687%,16.5435422975679%,17.6964463043941%,19.1620157707184%,14.8323726471256%,18.7338068718234%,16.213850564415%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,10.1358861989283%,8.00042564017571%,17.0044822324364%,10.2674550821046%,18.4222385890418%,18.4222385890418%,8.00042564017571%
,,,,,,OPM,14.3539220109016%,15.6222382349944%,17.5975196567114%,17.7748320727773%,16.213850564415%,17.7748320727773%,14.3539220109016%
,,,,,,Price to Earning,13.2087782294304,12.3482806351756,11.9859468433767,14.0302827592393,21.2617872243172,21.2617872243172,11.9859468433767
