EXIDE INDUSTRIES LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,03/31/2017,03/31/2018,03/31/2019,03/31/2020,03/31/2021,03/31/2022,03/31/2023,03/31/2024,03/31/2025,03/31/2026,Trailing,Best Case,Worst Case
Sales,11178.63,12808.08,14720.88,14471.01,10359.43,12789.22,15078.16,16769.73,17237.85,17995.35,17995.35,19088.1694351886,18519.1577053818
Expenses,9804.95,11399.65,13159.11,13013.54,8993.53,11386.78,13484.77,14946.25,15433.2,16124.91,16125.2,17069.8670854701,16594.5714771218
Operating Profit,1373.68,1408.43,1561.77,1457.47,1365.9,1402.44,1593.39,1823.48,1804.65,1870.44,1870.15,2018.30234971846,1924.58622826007
Other Income,102.22,20.96,147.88,40.18,131.95,3724.58,125.02,88.23,113.3,90.95,91.24,0,0
Depreciation,225.93,267.21,343.54,417.58,393.51,439.52,502.12,560.42,582.34,588.75,588.75,588.75,588.75
Interest,152.83,114.31,117.1,108.19,36.52,64.36,78.7,120.12,159.65,123.83,123.83,123.83,123.83
Profit before tax,1097.14,1047.87,1249.01,971.88,1067.82,4623.14,1137.59,1231.17,1175.96,1248.81,1248.81,1305.72234971846,1212.00622826007
Tax,293.12,353.77,401.66,209.4,264.72,266.3,314.82,348.35,375.46,388.89,388.89,31.1408460854734%,31.1408460854734%
Net profit,801.05,690.96,845.55,776.75,809.9,4366.93,822.7,876.68,795.02,854.19,854.19,899.10936248901,834.57723417125
EPS,9.42411764705882,8.12894117647059,9.94764705882353,9.13823529411765,9.52823529411765,51.3756470588235,9.67882352941177,10.3138823529412,9.35317647058824,10.0492941176471,10.0492941176471,10.5777572057531,9.81855569613235
Price to earning,23.8059422008614,27.414394465671,21.9850984566259,14.4010299324107,19.2690455611804,2.94108217901363,18.3854989668166,29.5281630697632,38.5377097431511,28.6487783748346,33.8083447476557,33.8083447476557,23.1899565718532
Price,224.35,222.85,218.7,131.6,183.6,151.1,177.95,304.55,360.45,287.9,339.75,357.616462269099,227.691880191631
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,25.4665751201548%,29.5241403265023%,24.1263083200284%,44.8664306404892%,20.9902457093468%,3.89289500862162%,20.6636684088975%,19.3913400556646%,21.3831098588715%,19.9018953628584%,,,
OPM,12.2884467953586%,10.9964178862093%,10.6092162968518%,10.0716536026165%,13.1850883687616%,10.9657977577991%,10.5675360919369%,10.8736395875187%,10.4691130274367%,10.3940184547675%,10.3924069273451%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,5.43253169538198%,2.91079476299063%,11.6772953675485%,6.07278788791872%,4.39439953358453%,6.07278788791872%,2.91079476299063%
,,,,,,OPM,10.9210175642504%,10.8096360341258%,10.6352410551555%,10.57357729651%,10.3924069273451%,10.57357729651%,10.3924069273451%
,,,,,,Price to Earning,23.5204625179986,23.1899565718532,25.3082628468725,32.6307489838512,33.8083447476557,33.8083447476557,23.1899565718532
