FINE ORGANIC INDUSTRIES LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,03/31/2017,03/31/2018,03/31/2019,03/31/2020,03/31/2021,03/31/2022,03/31/2023,03/31/2024,03/31/2025,03/31/2026,Trailing,Best Case,Worst Case
Sales,778.33,855.81,1060.33,1038.08,1133.22,1876.26,3023.08,2122.95,2269.15,2365.8,2365.79,2466.56661745588,2180.15638040633
Expenses,633.43,697.4,826.74,802.67,935.27,1512.78,2193.77,1591.12,1757.1,1885.99,1885.97,1910.43484732738,1737.98584352581
Operating Profit,144.9,158.41,233.59,235.41,197.95,363.48,829.31,531.83,512.05,479.81,479.82,556.131770128493,442.170536880519
Other Income,4,15.97,19.83,20.19,17.1,32.89,64.15,71.32,97.6,123.66,123.66,0,0
Depreciation,23.71,20.04,17.45,34.66,46.77,39.9,47.89,56.6,52.3,56.41,56.41,56.41,56.41
Interest,4.39,3.15,1.84,4.82,6.13,4.94,4.57,2.43,2.2,4.12,4.13,4.13,4.13
Profit before tax,120.8,151.19,234.13,216.12,162.15,351.53,841,544.12,555.15,542.94,542.94,495.591770128493,381.630536880519
Tax,42.93,55.86,94.53,51.32,41.81,91.82,222.9,132.23,144.66,125.87,125.87,23.1830404832947%,23.1830404832947%
Net profit,77.87,95.33,136.21,164.78,120.32,259.61,618.1,411.89,410.5,417.07,417.07,380.698529427728,293.156975018894
EPS,162.229166666667,31.0521172638437,44.3680781758958,53.6742671009772,39.1921824104235,84.5635179153095,201.335504885994,134.166123778502,133.71335504886,135.85342019544,136.030760985991,124.167911056421,95.6155235336301
Price to earning,,,27.9344982013068,35.5114303920379,58.2731008976064,47.368535495551,21.391656689856,30.0735378377722,29.9670889159562,29.1277171697797,33.846021051622,33.846021051622,30.7535912437825
Price,0,0,1239.4,1906.05,2283.85,4005.65,4306.9,4034.85,4007,3957.1,4604.1,4202.58973155154,2940.52072731353
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,9.29754719404135%,22.5112766180636%,15.7550840613758%,13.0234251729579%,28.0335771276596%,10.6274796810601%,4.4636790163404%,7.44373497778533%,8.21680876979293%,8.08737142446112%,,,
OPM,18.6167820847199%,18.5099496383543%,22.0299340771269%,22.6774429716399%,17.4679232629145%,19.3725816251479%,27.4326183891925%,25.0514614098307%,22.5657184408259%,20.2810888494378%,20.2815972677203%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,13.1477777120478%,12.1478615738941%,15.8597959654803%,-7.8470033094093%,4.2593041447238%,4.2593041447238%,-7.8470033094093%
,,,,,,OPM,22.3127626261801%,22.7778203628149%,23.3029430637098%,22.5467970819337%,20.2815972677203%,22.5467970819337%,20.2815972677203%
,,,,,,Price to Earning,34.8326207390542,35.6948860562727,31.9624261934228,30.7535912437825,33.846021051622,33.846021051622,30.7535912437825
