GREAT EASTERN SHIPPING COMPANY LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,03/31/2017,03/31/2018,03/31/2019,03/31/2020,03/31/2021,03/31/2022,03/31/2023,03/31/2024,03/31/2025,03/31/2026,Trailing,Best Case,Worst Case
Sales,3116.86,3038.38,3547.11,3686.73,3336.55,3508.94,5690.46,5255.17,5322.54,5409.09,5409.09,5497.04739242918,5318.42637856936
Expenses,1685.65,1837.92,2480.14,2469.77,1683.12,1968.86,2562.81,2233.55,2645.53,2261.21,2261.22,2297.98977364191,2769.94799106085
Operating Profit,1431.21,1200.46,1066.97,1216.96,1653.43,1540.08,3127.65,3021.62,2677.01,3147.88,3147.87,3199.05761878727,2548.47838750851
Other Income,505.9,102.19,269.02,211.12,231.82,147.62,480.68,663.53,834.34,903.33,903.33,0,0
Depreciation,677.91,768.67,772.65,742.81,700.43,697.93,712.05,726.07,813.23,889.06,889.05,889.05,889.05
Interest,377.62,455.08,521.21,450.24,242.14,370.09,342.74,264.7,236.43,136.36,136.36,136.36,136.36
Profit before tax,881.58,78.9,42.13,235.03,942.68,619.68,2553.54,2694.38,2461.69,3025.79,3025.79,2173.64761878727,1523.06838750851
Tax,126.62,289.39,63.58,27.89,24.16,-10,-21.47,80.2,117.43,83.27,83.27,2.75200856635788%,2.75200856635788%
Net profit,754.96,-210.49,-21.45,207.14,918.52,629.68,2575.01,2614.18,2344.26,2942.52,2942.52,2113.82865011581,1481.15341501279
EPS,50.0636604774536,-13.9582228116711,-1.42241379310345,14.091156462585,62.4843537414966,44.0952380952381,180.322829131653,183.065826330532,164.163865546219,206.058823529412,206.106192099364,148.061244724219,103.746071490849
Price to earning,8.32939493483099,-23.656306712908,-200.293333333333,14.6049048952399,5.00445281539869,7.83191144708423,3.57442262360146,5.4693441155544,5.67512221340636,6.86551527262347,8.08369696722537,8.08369696722537,6.25000210658255
Price,417,330.2,284.9,205.8,312.7,345.35,644.55,1001.25,931.65,1414.7,1666.1,1196.88223494078,648.413165367473
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,20.1719296386564%,0%,0%,57.4732065269866%,14.4003396768715%,22.4463219413035%,15.9680933277929%,19.8249546702981%,18.088010715535%,11.3535337058032%,,,
OPM,45.9183280609331%,39.5098703914586%,30.0799806039283%,33.0091978528398%,49.5550793484288%,43.8901776604901%,54.9630434094959%,57.4980447825665%,50.2957234703732%,58.1961106211951%,58.1959257472144%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,6.31652376069505%,6.2132033697482%,10.1451336005744%,-1.67613445941257%,1.62610332660723%,1.62610332660723%,-1.67613445941257%
,,,,,,OPM,47.9179028928109%,50.8689677697374%,53.6573202785652%,55.3363399804839%,58.1959257472144%,58.1959257472144%,47.9179028928109%
,,,,,,Price to Earning,7.27097392055166,7.13867129376674,6.25000210658255,6.5234196422024,8.08369696722537,8.08369696722537,6.25000210658255
