GARDEN REACH SHIPBUILDERS & ENGINEERS LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,03/31/2017,03/31/2018,03/31/2019,03/31/2020,03/31/2021,03/31/2022,03/31/2023,03/31/2024,03/31/2025,03/31/2026,Trailing,Best Case,Worst Case
Sales,920.91,1346.96,1386.42,1433.3,1140.84,1754.45,2561.15,3592.64,5075.69,7002.16,7002.15,9791.0898362748,8772.48113536785
Expenses,1082.01,1361.79,1344.32,1391.35,1059.65,1613.31,2411.78,3357.36,4653.9,6206.86,6206.85,8679.02372132591,8133.94391614667
Operating Profit,-161.1,-14.8300000000002,42.0999999999999,41.95,81.1899999999998,141.14,149.37,235.28,421.79,795.299999999999,795.3,1112.06611494889,638.537219221184
Other Income,216.99,179.23,169.05,214.89,164.97,153.64,201.84,299.62,334.84,274.39,274.39,0,0
Depreciation,26.65,28.96,27.08,30.09,29.09,35.71,39.17,41.33,42.49,48.87,48.87,48.87,48.87
Interest,9.12,7.69,5.11,2.88,9.95,1.83,6.83,12.65,10.85,16.12,16.12,16.12,16.12
Profit before tax,20.12,127.75,178.96,223.87,207.12,257.24,305.21,480.92,703.29,1004.7,1004.7,1047.07611494889,573.547219221184
Tax,8.65,35.35,69.02,60.39,53.65,67.71,77.09,123.66,175.88,256.76,256.76,25.5558873295511%,25.5558873295511%
Net profit,11.47,92.4,109.94,163.48,153.47,189.53,228.12,357.27,527.4,747.93,747.94,779.486522757908,426.972138095244
EPS,9.25,8.06282722513089,9.59336823734729,14.2652705061082,13.391797556719,16.5383944153578,19.9057591623037,31.1753926701571,46.020942408377,65.2643979057592,65.2926156606982,68.0465196982728,37.2732140418741
Price to earning,,,10.2831453520102,9.5757034499633,13.8032253860689,13.7074974938005,22.8778011572856,24.5289612897808,36.628976109215,30.2278127632265,41.2604085889242,41.2604085889242,22.5437257322528
Price,0,0,98.65,136.6,184.85,226.7,455.4,764.7,1685.7,1972.8,2694,2807.62720580502,840.277114519564
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,471.578029642546%,54.9242424242424%,72.4122248499181%,50.030584781013%,37.3232553593536%,35.0551363900174%,31.1327371558829%,30.0109161138635%,30.0815320439894%,30.0188520316072%,,,
OPM,0%,0%,3.03659785634944%,2.92681225144771%,7.11668595070298%,8.04468636894753%,5.83214571579175%,6.5489445087735%,8.31000317198253%,11.3579238406434%,11.3579400612669%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,25.2825365833044%,26.030815105082%,43.7478831893646%,39.8295645382968%,37.9548396375665%,39.8295645382968%,25.2825365833044%
,,,,,,OPM,7.27886682647632%,8.27128092222464%,8.72046508346555%,9.2681849769854%,11.3579400612669%,11.3579400612669%,7.27886682647632%
,,,,,,Price to Earning,22.5437257322528,24.0762982797831,28.2052429003721,33.1615396877867,41.2604085889242,41.2604085889242,22.5437257322528
