HINDUSTAN AERONAUTICS LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,03/31/2017,03/31/2018,03/31/2019,03/31/2020,03/31/2021,03/31/2022,03/31/2023,03/31/2024,03/31/2025,03/31/2026,Trailing,Best Case,Worst Case
Sales,17949.92,18519.74,20008.23,21445.16,22882.32,24620.02,26927.46,30381.08,30980.95,33088.82,33088.82,35441.3217349606,35340.1044510385
Expenses,14719.23,15071.05,15456.97,16530.92,17538.34,19204.65,20241.8,20629.5,21359.93,23318.99,23318.99,24506.0444159257,26357.39170704
Operating Profit,3230.69,3448.69,4551.26,4914.24,5343.98,5415.37,6685.66,9751.58,9621.02,9769.83,9769.83,10935.2773190349,8982.71274399845
Other Income,1058.2,775.7,376.26,422.51,364.28,984.93,1672.92,1923.1,2608.23,3742.75,3742.75,0,0
Depreciation,680.68,947.09,1025.26,998.52,1157.89,1110.53,1784.67,1407.17,1340.37,1354.86,1354.86,1354.86,1354.86
Interest,16.45,34.62,177.6,359.59,266.89,65.24,64.41,42.63,21.62,5.79,5.79,5.79,5.79
Profit before tax,3591.76,3242.68,3724.66,3978.64,4283.48,5224.53,6509.5,10224.88,10867.26,12151.93,12151.93,9574.6273190349,7622.06274399845
Tax,966.95,1252.43,1396.28,1095.99,1037.93,144.65,681.77,2603.93,2503.21,3036.41,3036.41,24.9870596687111%,24.9870596687111%
Net profit,2624.81,1990.47,2328.63,2882.82,3245.95,5080.04,5827.74,7621.05,8364.13,9115.6,9115.6,7182.20947777094,5717.53337816896
EPS,36.3044260027663,29.7618122009569,34.8180322966507,43.1043660287081,48.5339413875598,75.9575358851675,87.1372607655502,113.95110645933,125.061752392344,136.297846889952,136.30294241265,107.393510558186,85.4926305220688
Price to earning,,19.032107190764,10.1450305115025,6.03535149610451,10.250146305396,9.77454035794994,15.6712523207967,29.1967327336784,33.4030982301806,25.5851437096845,32.0491980780201,32.0491980780201,19.1142600934077
Price,0,566.43,353.23,260.15,497.48,742.45,1365.55,3327,4177.45,3487.2,4368.4,3441.87589217326,1634.12837586843
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,30.4783965315585%,54.0440197541284%,28.432597707665%,38.5681381425132%,30.9052819667586%,26.3297139392603%,31.5583742582888%,30.7140092244507%,31.9832427281738%,25.6782877704156%,,,
OPM,17.9983531960031%,18.6216977128189%,22.7469396343405%,22.9153804401553%,23.3541878620699%,21.9957985411872%,24.828409363527%,32.097542286186%,31.0546319593169%,29.5260755747712%,29.5260755747712%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,7.03189035443526%,7.45097798922669%,7.65550561784953%,7.10965738566862%,6.80376166644341%,7.10965738566862%,6.80376166644341%
,,,,,,OPM,25.41790094719%,27.059745601503%,28.249268330672%,30.8545979205057%,29.5260755747712%,30.8545979205057%,25.41790094719%
,,,,,,Price to Earning,19.1142600934077,20.2456829039763,24.279994238385,30.0585431878909,32.0491980780201,32.0491980780201,19.1142600934077
