HDFC BANK LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,03/31/2017,03/31/2018,03/31/2019,03/31/2020,03/31/2021,03/31/2022,03/31/2023,03/31/2024,03/31/2025,03/31/2026,Trailing,Best Case,Worst Case
Sales,73271.35,85287.84,105160.74,122189.29,128552.4,135936.41,170754.05,283649.02,336367.43,348615.15,348615.15,442253.560215244,361308.830672228
Expenses,23855.69,29532.26,34856.27,45459.21,52456.53,56556.96,63042.3,174195.54,186974.45,207830.13,207830.13,259791.574870055,215397.584553503
Operating Profit,49415.66,55755.58,70304.47,76730.08,76095.87,79379.45,107711.75,109453.48,149392.98,140785.02,140785.02,182461.985345189,145911.246118725
Other Income,12905.08,16056.6,18947.05,24878.97,27332.88,31758.99,33912.05,124345.75,134548.5,146847.66,146847.66,0,0
Depreciation,886.19,966.78,1220.67,1276.77,1385.01,1680.73,2345.47,3092.08,3805.23,0,0,0,0
Interest,38041.58,42381.48,53712.69,62137.42,59247.59,58584.33,77779.94,154138.55,183894.2,185491.23,185491.23,185491.23,185491.23
Profit before tax,23392.97,28463.92,34318.16,38194.86,42796.15,50873.38,61498.39,76568.6,96242.05,102141.45,102141.45,-3029.24465481105,-39579.983881275
Tax,8078.12,9903.08,11872.55,10898.59,10939.38,12722.48,15349.69,11122.1,22801.88,22921.99,22921.99,22.4414182489087%,22.4414182489087%
Net profit,15280.48,18510.02,22332.43,27253.95,31833.21,38052.75,45997.11,64062.04,70792.25,76025.97,76025.97,-2349.43919204219,-30697.6741556274
EPS,14.9074944879124,17.8317020538708,20.5012576653325,24.8517772144512,28.872088593818,34.3092659880445,41.2178950669833,42.1632771261962,46.2561420245158,49.388679563969,49.3818276380434,-1.52605223225026,-19.9393345989799
Price to earning,24.1918586850675,26.4433534485646,28.2777773668159,17.3408121391578,25.8668505249706,21.4280305575813,19.5250145280867,17.1701549154538,19.7616999600945,14.8120987736164,15.5421546084844,16.8215270644123,15.5421546084844
Price,360.64,471.53,579.73,430.95,746.83,735.18,804.78,723.95,914.1,731.55,767.5,-25.6705289265045,-309.900221127649
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,18.4470644901207%,18.2259662604362%,18.2915607482034%,5.02980301937884%,11.2565462295508%,22.5884331618608%,23.0480349743712%,23.124396288348%,23.7806257040848%,31.3837100664418%,,,
OPM,67.4419947223574%,65.3734225183801%,66.8542937221629%,62.7960764810075%,59.1944374434083%,58.3945463912134%,63.0800557878422%,38.5876460986892%,44.4136282754843%,40.3840796936106%,40.3840796936106%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,18.9235889198553%,18.6741388602972%,22.0824435933101%,26.8601092681267%,3.64117298752737%,26.8601092681267%,3.64117298752737%
,,,,,,OPM,51.1248566083696%,48.4611884660782%,46.0058442022088%,41.2573242500038%,40.3840796936106%,41.2573242500038%,40.3840796936106%
,,,,,,Price to Earning,20.9418005007176,18.9308520009307,18.0398588905529,16.8215270644123,15.5421546084844,16.8215270644123,15.5421546084844
