HINDALCO INDUSTRIES LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,03/31/2017,03/31/2018,03/31/2019,03/31/2020,03/31/2021,03/31/2022,03/31/2023,03/31/2024,03/31/2025,03/31/2026,Trailing,Best Case,Worst Case
Sales,100183.78,115182.8,130542,118144,132008,195059,223202,215962,238496,274944,274944,316962.142492956,294731.328470918
Expenses,87867.02,101487.52,115031,103838,114449,166712,200536,192090,206691,240064,240067,276755.087079029,258398.236792073
Operating Profit,12316.76,13695.28,15511,14306,17559,28347,22666,23872,31805,34880,34877,40207.0554139273,36333.0916788455
Other Income,1197.81,2878.73,1127,906,-987,1253,1307,1519,1832,-4074,-4071,0,0
Depreciation,4457.24,4506.24,4777,5091,6628,6729,7086,7521,7881,8830,8830,8830,8830
Interest,5742.44,3910.73,3778,4197,3738,3768,3646,3858,3419,3480,3480,3480,3480
Profit before tax,3314.89,8157.04,8083,5924,6206,19103,13241,14012,22337,18496,18496,27897.0554139273,24023.0916788455
Tax,1432.59,2074.17,2588,2157,2723,5373,3144,3857,6335,5105,5105,27.600562283737%,27.600562283737%
Net profit,1899.74,6082.92,5496,3767,3483,13730,10097,10155,16001,13391,13391,20197.3112590776,17392.5832975465
EPS,8.46850621851736,27.0954120267261,24.4756179024716,16.7705458107025,15.5027373481106,61.0982556069776,44.9314702741189,45.189569241723,71.2041651833393,59.5897116411534,59.5890073579899,89.8766133394661,77.3957713458257
Price to earning,23.0323973280554,7.91831472384973,8.39611080786026,5.70643323599682,21.0833733850129,9.32105171158048,9.02151649004655,12.3977725258493,9.58441122429848,14.8423272347099,18.6141714584422,18.6141714584422,12.2968751074878
Price,195.05,214.55,205.5,95.7,326.85,569.5,405.35,560.25,682.45,884.45,1109.2,1672.97869080494,951.726134087304
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,12.8959752387169%,4.39706588283259%,5.08951965065502%,5.89328378019644%,19.1214470284238%,6.46758922068463%,6.5960186193919%,7.65140324963072%,6.93706643334792%,8.28914942872078%,,,
OPM,12.2941657821256%,11.8900391377879%,11.8819996629437%,12.108951787649%,13.3014665777832%,14.5325260562189%,10.1549269271781%,11.0537965012363%,13.3356534281497%,12.6862197392924%,12.6851286080074%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,11.8706894871349%,11.2278202500863%,15.8053968226744%,7.19685771317724%,15.2824366027103%,15.2824366027103%,7.19685771317724%
,,,,,,OPM,12.3275295732366%,12.4075789714662%,12.3355026693376%,12.4152387846482%,12.6851286080074%,12.6851286080074%,12.3275295732366%
,,,,,,Price to Earning,12.7198072841547,12.5713821582421,12.2968751074878,13.859670610825,18.6141714584422,18.6141714584422,12.2968751074878
