HIMADRI SPECIALITY CHEMICAL LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,03/31/2017,03/31/2018,03/31/2019,03/31/2020,03/31/2021,03/31/2022,03/31/2023,03/31/2024,03/31/2025,03/31/2026,Trailing,Best Case,Worst Case
Sales,1340.62,2021.5,2422.39,1805.8,1679.46,2791.32,4171.84,4184.89,4612.63,4660.7,4660.7,4836.0670952021,4709.27095604894
Expenses,1107.43,1569.11,1862.54,1525.49,1548.54,2635.26,3772.64,3539.83,3758.4,3698.56,3698.56,3837.72487300849,4034.01905550334
Operating Profit,233.19,452.39,559.85,280.31,130.92,156.06,399.2,645.06,854.23,962.14,962.14,998.342222193607,675.251900545592
Other Income,5.84,12.26,7.77,7.99,14.05,-17.43,-2.03,42.52,51.69,171.3,171.29,0,0
Depreciation,32.78,33.23,34.43,39.24,46.97,49.55,50.85,49.86,54.97,68.16,68.16,68.16,68.16
Interest,81.58,70.45,71.05,54.91,33.43,35.62,66.07,63.87,44.77,64.37,64.37,64.37,64.37
Profit before tax,124.67,360.97,462.14,194.15,64.57,53.46,280.25,573.85,806.18,1000.91,1000.9,865.812222193607,542.721900545592
Tax,42.22,113.37,137.9,-11.22,17.29,14.41,64.39,163.18,251.08,245.83,245.83,24.5608951943251%,24.5608951943251%
Net profit,82.78,247.46,324.29,205.48,47.48,40.95,215.98,410.77,555.63,751.34,751.34,653.160989720978,409.42454335594
EPS,1.97848948374761,5.91443594646271,7.74701385570951,4.90639923591213,1.13317422434368,0.977326968973747,4.99144904090594,8.33881445391799,11.2521263669502,14.8927651139742,14.8915372115192,12.9456320487964,8.11478268519479
Price to earning,22.1128291857937,24.710724965651,15.0122359616393,6.00236519369282,36.7551600673968,76.0236874236874,17.4899111028799,36.2521557075736,37.7128718751687,29.6519817925307,39.4284345303059,39.4284345303059,31.0138507096654
Price,43.75,146.15,116.3,29.45,41.65,74.3,87.3,302.3,424.35,441.6,587.15,510.426005689398,251.670658740009
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,5.04952887170814%,1.68916188474905%,1.93653828363502%,3.05625851664396%,13.2266217354676%,20.4639804639805%,5.00972312251134%,5.9960561871607%,5.3326854201537%,5.3717358319802%,,,
OPM,17.3941907475645%,22.3789265396982%,23.1114725539653%,15.5227599955698%,7.79536279518417%,5.59090322858002%,9.56891922988418%,15.4140252193009%,18.5193696437824%,20.6436801338855%,20.6436801338855%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,14.8490144585391%,9.79966422775729%,22.6468213135912%,3.76267717729302%,1.04213864975079%,3.76267717729302%,1.04213864975079%
,,,,,,OPM,15.7398753500622%,14.3387778458202%,14.7722142186277%,18.2894171740394%,20.6436801338855%,20.6436801338855%,14.3387778458202%
,,,,,,Price to Earning,31.0138507096654,34.9145709616545,39.4265070720244,35.7613609763947,39.4284345303059,39.4284345303059,31.0138507096654
