ICICI BANK LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,03/31/2017,03/31/2018,03/31/2019,03/31/2020,03/31/2021,03/31/2022,03/31/2023,03/31/2024,03/31/2025,03/31/2026,Trailing,Best Case,Worst Case
Sales,60939.98,62162.35,71981.65,84835.77,89162.66,95406.87,121066.81,159515.93,186331.46,195218.46,195218.46,228921.268381858,204529.321697858
Expenses,63840.81,72806.44,83774.86,85360.75,91308.97,80798.37,87864.38,99559.99,130078.42,146032.45,146032.45,158943.776927158,165823.469582491
Operating Profit,-2900.83,-10644.09,-11793.21,-524.979999999996,-2146.31,14608.5,33202.43,59955.94,56253.04,49186.01,49186.01,69977.4914546995,38705.852115367
Other Income,52457.65,56806.75,59324.85,64950.33,72173.81,62129.45,65111.99,76521.8,108255.47,116899.9,116899.9,0,0
Depreciation,911.64,922.14,945.84,1171.22,1340.07,1330.01,1514.56,1935.21,2627.32,0,0,0,0
Interest,34835.83,34262.05,39177.54,44665.52,42659.09,41166.67,50543.39,74108.16,89027.65,89028.58,89028.58,89028.58,89028.58
Profit before tax,13809.35,10978.47,7408.26,18588.61,26028.34,34241.27,46256.47,60434.37,72853.54,77057.33,77057.33,-19051.0885453005,-50322.7278846331
Tax,2469.02,1878.92,1719.1,7363.14,5664.37,8457.44,11793.44,15427.62,18434.83,19383.93,19383.93,25.1552058707458%,25.1552058707458%
Net profit,10188.38,7712.19,4254.24,9566.31,18384.32,25110.1,34036.64,44256.37,51029.2,54207.7,54207.7,-14258.7480011121,-37663.9420854784
EPS,15.9021991914967,11.9978064716864,6.59960907201142,14.7792454579162,26.5823019086177,36.1358795763297,48.7435412728418,63.0226136735827,71.6511043401339,75.7080208376978,75.6089521116468,-19.8881154298767,-52.5337026562052
Price to earning,15.8267417587487,23.2000741682972,60.6854126706533,21.9057191330827,21.8980283197856,20.209830466625,17.9972561921506,17.347741330796,18.8182724106982,15.9282990977297,16.4596911508882,17.138500997528,16.4596911508882
Price,251.68,278.35,400.5,323.75,582.1,730.3,877.25,1093.3,1348.35,1205.9,1244.5,-340.852486133893,-864.688520733731
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,14.2946179863727%,12.5043599807577%,15.1549983075708%,0%,7.52494517066718%,13.8387342145193%,16.4150162883293%,15.8698058607156%,15.3545421053044%,15.8526925141631%,,,
OPM,0%,0%,0%,0%,0%,15.3117904402482%,27.4248821786912%,37.58617712977%,30.1897704230944%,25.1953683068702%,25.1953683068702%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,13.8098475713656%,15.3187348852978%,16.9681371208607%,17.2641503174741%,4.76945761064718%,17.2641503174741%,4.76945761064718%
,,,,,,OPM,18.9243536301095%,22.8875181855176%,28.1445273225544%,30.5683661240124%,25.1953683068702%,30.5683661240124%,18.9243536301095%
,,,,,,Price to Earning,22.7524606090414,18.8206047627195,17.7935151081479,17.138500997528,16.4596911508882,17.138500997528,16.4596911508882
