INDIAN BANK,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,03/31/2017,03/31/2018,03/31/2019,03/31/2020,03/31/2021,03/31/2022,03/31/2023,03/31/2024,03/31/2025,03/31/2026,Trailing,Best Case,Worst Case
Sales,16039.22,17115.32,19182.06,21401.28,39108.08,38888.44,44985.16,55649.73,62039.43,67504.09,67504.09,77282.9502776301,73450.0972482839
Expenses,6143.57,6998.3,8288.79,9237.81,18028.96,20284.74,21576.79,20342.43,19818.18,21292.5,21292.5,24377.0002497099,29235.2103204209
Operating Profit,9895.65,10117.02,10893.27,12163.47,21079.12,18603.7,23408.37,35307.3,42221.25,46211.59,46211.59,52905.9500279202,44214.886927863
Other Income,2222.4,2416.59,1891.44,3325.5,6111.4,7379.71,7804.5,8581.95,10011.45,10062.02,10062.02,0,0
Depreciation,166.24,236.84,259.29,314.01,636.9,600.86,532.39,531.14,542.94,0,0,0,0
Interest,10891.46,10851.28,12166.75,13797.51,23438.8,22129.25,24717.29,32340.76,36826.25,40538.66,40538.66,40538.66,40538.66
Profit before tax,1060.35,1445.49,358.67,1377.45,3114.82,3253.3,5963.19,11017.35,14863.51,15734.95,15734.95,12367.2900279202,3676.226927863
Tax,-352.56,182.57,37.74,619.37,99.1,-740.59,632.71,2888.2,3868.64,4274.55,4274.55,27.1659585826456%,27.1659585826456%
Net profit,1453.06,1310.54,380.13,861.34,3149.15,4141.81,5572.31,8419.41,11261.47,11704.28,11704.27,9007.59714113976,2677.54464323567
EPS,30.2531750988965,27.2858630022902,7.91442848219863,14.1481603153745,27.8833894103064,33.2568652641722,44.7431347358278,62.5048997772829,83.6040831477357,86.8914625092799,86.8937118306296,66.8733334303293,19.8783685478006
Price to earning,9.19738173234416,10.9873746699834,35.391058322153,3.0463324587271,4.16376927107315,4.62761594568558,6.44903406307259,8.33054691480757,6.47456415547881,9.73283192131425,9.50529080412533,9.50529080412533,6.54124819178555
Price,278.25,299.8,280.1,43.1,116.1,153.9,288.55,520.7,541.3,845.7,825.95,635.650481296517,130.029342318947
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,19.8319408696131%,0%,0%,0%,7.172411603131%,19.5455609986938%,19.2214718850889%,19.1979010405717%,19.4362725292524%,21.0025734175874%,,,
OPM,61.6965787613113%,59.1109018119439%,56.7888433254823%,56.8352453685013%,53.8996544959507%,47.838637908849%,52.0357602373761%,63.4455908411416%,68.0555092140595%,68.4574667994191%,68.4574667994191%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,17.3139476527507%,19.6911722003869%,11.5353972520963%,14.4863226474575%,8.80836590536051%,14.4863226474575%,8.80836590536051%
,,,,,,OPM,60.1971795604342%,60.3789939813921%,61.6026128822633%,66.8167657298525%,68.4574667994191%,68.4574667994191%,60.1971795604342%
,,,,,,Price to Earning,9.80961820534226,6.54124819178555,7.51998063408069,8.51080844893149,9.50529080412533,9.50529080412533,6.54124819178555
