INDIAN RAILWAY CATERING & TOURISM CORPORATION LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,03/31/2016,03/31/2017,03/31/2018,03/31/2019,03/31/2020,03/31/2021,03/31/2022,03/31/2023,03/31/2024,03/31/2025,Trailing,Best Case,Worst Case
Sales,1366.78,1519.65,1466.09,1870,2264.31,776.66,1878.57,3541.47,4260.21,4674.77,5023.67,6334.87238111938,5163.6221071027
Expenses,1176.41,1206.1,1192.5,1486.64,1561.64,588.87,1004.82,2265.2,2793.92,3124.04,3371.48,4154.96990524395,3585.49821574601
Operating Profit,190.37,313.55,273.59,383.36,702.67,187.79,873.75,1276.27,1466.29,1550.73,1652.19,2179.90247587543,1578.12389135669
Other Income,138.95,66.55,98.69,126.19,76.88,124.35,71.67,147.58,105.85,275.7,316.97,0,0
Depreciation,20.54,22.41,23.66,28.64,40.21,46.35,48.99,53.73,57.22,52.58,47.83,47.83,47.83
Interest,0.12,2.62,2.99,2.35,9.76,8.28,11.05,16.11,18.64,16.89,21.22,21.22,21.22
Profit before tax,308.66,355.07,345.63,478.56,729.58,257.51,885.38,1354.01,1496.28,1756.96,1900.11,2110.85247587543,1509.07389135669
Tax,120.03,125.99,125.02,169.99,216.48,70.49,225.82,348.13,385.02,442.3,475.36,25.0174989869008%,25.0174989869008%
Net profit,188.63,229.08,220.62,308.56,513.11,187.03,659.55,1005.88,1111.26,1314.66,1424.75,1582.76997910833,1131.54134587495
EPS,18.863,11.454,11.031,3.857,6.413875,2.337875,8.244375,12.5735,13.89075,16.43325,17.809375,19.7846247388541,14.1442668234368
Price to earning,,,,,30.6382646995771,150.307437309523,93.9670987794709,45.5561299558596,66.9294314561849,44.2700013691753,29.7736444990349,46.6323018200637,29.7736444990349
Price,0,0,0,0,196.51,351.4,774.7,572.8,929.7,727.5,530.25,922.602592218941,421.126372100503
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,39.9724328049621%,49.3102846167278%,21.3942525609646%,97.9939071817475%,38.9779969207382%,42.773886542266%,42.4531877795467%,43.7427923808009%,46.7937296402282%,48.6817884472031%,,,
OPM,13.9283571606257%,20.6330405027473%,18.6612008812556%,20.5005347593583%,31.032411639749%,24.1791775036696%,46.5114422140245%,36.0378599846956%,34.4182563770331%,33.1723271947069%,32.8881076981569%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,14.6410569531888%,18.0165194908149%,15.6018735595491%,35.5119584732379%,9.73097570307568%,35.5119584732379%,9.73097570307568%
,,,,,,OPM,30.5623428404247%,33.4312433464359%,35.388205407463%,34.411150607745%,32.8881076981569%,34.411150607745%,30.5623428404247%
,,,,,,Price to Earning,65.920286866975,65.920286866975,71.8006238948747,46.6323018200637,29.7736444990349,46.6323018200637,29.7736444990349
