INDIAN RAILWAY FINANCE CORPORATION LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,03/31/2017,03/31/2018,03/31/2019,03/31/2020,03/31/2021,03/31/2022,03/31/2023,03/31/2024,03/31/2025,03/31/2026,Trailing,Best Case,Worst Case
Sales,9047.38,9267.14,11133.59,13421.02,15770.51,20299.38,23891.95,26649.51,27152.94,27284.69,27284.69,28519.4732150186,27417.0792700938
Expenses,25.89,37.94,48.47,65.83,113.23,122.64,134.32,132.86,153.97,317.58,317.58,212.579390590043,319.120944185052
Operating Profit,9021.49,9229.2,11085.12,13355.19,15657.28,20176.74,23757.63,26516.65,26998.97,26967.11,26967.11,28306.8938244285,27097.9583259087
Other Income,0.26,1.23,-0.02,0.06,0.33,2.22,40.66,6.37,3.43,53.37,53.37,0,0
Depreciation,0.35,0.35,0.42,0.46,4.43,14.03,14.06,9.44,5.31,6.05,6.05,6.05,6.05
Interest,6888.13,6637.59,8183.1,10162.7,11237.05,14074.78,17447.21,20101.47,20495.09,20005.26,20005.26,20005.26,20005.26
Profit before tax,2133.27,2592.49,2901.58,3192.09,4416.13,6090.15,6337.02,6412.11,6502,7009.17,7009.17,8295.58382442853,7086.64832590872
Tax,1199.46,537.83,646.84,0,0,0.32,0,0,0,0,0,0%,0%
Net profit,933.81,2054.66,2254.75,3192.1,4416.13,6089.84,6337.01,6412.11,6502,7009.17,7009.17,8295.58382442853,7086.64832590872
EPS,143.003062787136,3.14818049490539,2.40365652150738,2.68683977947056,3.37921720166813,4.65993801890041,4.84907219650304,4.90653862340743,4.97532233997781,5.36340819527872,5.36340575013992,6.34776756516217,5.42269204205324
Price to earning,,,,,6.77671739735923,4.60306551567857,5.48558547327525,29.0123060115937,25.0074249461704,16.2639122035847,18.3073973095245,22.1477601177183,15.0652012653123
Price,0,0,0,0,22.9,21.45,26.6,142.35,124.42,87.23,98.19,140.588833316245,81.6939470133396
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,39.977083132543%,18.2643357051775%,17.7230291606608%,0%,31.0722283990734%,30.043318051049%,30.9338315704094%,30.5715279369817%,32.158720393725%,0%,,,
OPM,99.7138398077676%,99.5905964515482%,99.5646507550574%,99.5095007681979%,99.2820143419585%,99.3958436168987%,99.4378022723135%,99.5014542481269%,99.4329527483948%,98.8360505470284%,98.8360505470284%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,13.048874672756%,13.6611305152725%,11.5872711587066%,4.52555339649663%,0.485214492426971%,4.52555339649663%,0.485214492426971%
,,,,,,OPM,99.3732373609103%,99.3264517382016%,99.3124357281822%,99.2546167000094%,98.8360505470284%,99.2546167000094%,98.8360505470284%
,,,,,,Price to Earning,15.0652012653123,15.0652012653123,16.4466152433045,22.1477601177183,18.3073973095245,22.1477601177183,15.0652012653123
