JIO FINANCIAL SERVICES LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,12/30/1899,03/31/2023,03/31/2024,03/31/2025,03/31/2026,Trailing,Best Case,Worst Case
Sales,0,0,0,0,0,0,44.84,1854.6,2043.29,3513.26,3513.26,15033.4452454139,6040.74596733699
Expenses,0,0,0,0,0,0,5.56,295.52,494.66,1208.4,1208.39,4054.09997079796,2077.72183654792
Operating Profit,0,0,0,0,0,0,39.28,1559.08,1548.63,2304.86,2304.87,10979.3452746159,3963.02413078907
Other Income,0,0,0,0,0,0,10.06,428.6,428.45,381.33,381.32,0,0
Depreciation,0,0,0,0,0,0,0,21.52,22.52,29.44,29.44,29.44,29.44
Interest,0,0,0,0,0,0,0,10.27,7.65,745.09,745.09,745.09,745.09
Profit before tax,0,0,0,0,0,0,49.34,1955.89,1946.91,1911.66,1911.66,10204.8152746159,3188.49413078907
Tax,0,0,0,0,0,0,18.09,351.34,334.32,350.76,350.76,18.3484510843979%,18.3484510843979%
Net profit,0,0,0,0,0,0,31.25,1604.55,1612.59,1560.9,1560.9,8332.38973569987,2603.45484487234
EPS,0,0,0,0,0,0,154.687654687655,2.52553790943289,2.53827265429475,2.45691079945224,2.36387479214648,12.6188263531046,3.94275179722298
Price to earning,,,,,,,,140.069170483936,89.631820921623,91.2121026330963,100.762528028701,105.418905516839,100.762528028701
Price,0,0,0,0,0,0,0,353.75,227.51,224.1,238.19,1330.26286305133,397.281638477893
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0%,0%,0%,0%,0%,0%,0%,0%,19.6987454963754%,24.4211672752899%,,,
OPM,0%,0%,0%,0%,0%,0%,87.6003568242641%,84.0655666990187%,75.7910037243857%,65.6045951623279%,65.6048797982501%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,,,,327.905855115018%,71.9413299140113%,327.905855115018%,71.9413299140113%
,,,,,,OPM,73.1204038632026%,73.1204038632026%,73.1204038632026%,73.0327951802352%,65.6048797982501%,73.0327951802352%,65.6048797982501%
,,,,,,Price to Earning,105.418905516839,105.418905516839,105.418905516839,105.418905516839,100.762528028701,105.418905516839,100.762528028701
