JSW ENERGY LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,03/31/2017,03/31/2018,03/31/2019,03/31/2020,03/31/2021,03/31/2022,03/31/2023,03/31/2024,03/31/2025,03/31/2026,Trailing,Best Case,Worst Case
Sales,8263.43,8048.96,9137.59,8272.71,6922.2,8167.15,10331.81,11485.91,11745.39,18901.13,18901.13,30416.4199977097,20721.1110230259
Expenses,4938.95,5335.56,6282.6,5315.85,4009.34,4595.52,7049.82,6104.13,6524.01,8836.72,8836.72,14220.3871896634,12069.8562587988
Operating Profit,3324.48,2713.4,2854.99,2956.86,2912.86,3571.63,3281.99,5381.78,5221.38,10064.41,10064.41,16196.0328080464,8651.25476422715
Other Income,220.94,46.73,398.03,376.48,248.32,574.6,674.38,471.94,916.29,923.13,923.13,0,0
Depreciation,969.15,966.08,1163.69,1738.26,1166.94,1131.05,1169.23,1633.41,1654.64,3185.27,3185.27,3185.27,3185.27
Interest,1684.75,1455.91,1192.4,1051.07,895.65,776.91,844.3,2053.4,2269.13,5816.45,5816.45,5816.45,5816.45
Profit before tax,891.52,338.14,896.93,544.01,1098.59,2238.27,1942.84,2166.91,2213.9,1985.82,1985.82,7194.3128080464,-350.465235772848
Tax,269.01,253.23,212.44,33.04,275.91,494.79,462.72,442.26,231.02,-776.59,-776.59,-39.1067669778731%,-39.1067669778731%
Net profit,629.03,77.97,695.13,1099.92,795.48,1728.62,1477.76,1722.71,1950.89,2239.31,2239.31,10007.7759535484,-487.52085886499
EPS,3.83531491982196,0.475397841595025,4.23601462522852,6.69702873843156,4.84222059897736,10.5147201946472,8.98498206359822,10.4743114245759,11.161975054354,12.7429010413703,12.7429566193053,56.9499778198612,-2.77427294815055
Price to earning,16.3480708392287,153.134898037707,17.1387510249881,6.37596188813732,18.1425026399155,28.7406601797966,26.8058409349285,50.4949660708999,48.1903961781546,37.0088411162367,43.2591914473655,44.7383487031642,32.3772950569293
Price,62.7,72.8,72.6,42.7,87.85,302.2,240.85,528.9,537.9,471.6,551.25,2547.84796634242,-89.8234538107276
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,12.9405592738025%,0%,23.6056564959072%,14.9274492690377%,41.2920500829688%,18.9706239659382%,22.2031994369857%,19.0537002745674%,17.891833983464%,15.6851887411747%,,,
OPM,40.2312356975251%,33.7111875323023%,31.2444528590142%,35.742338363124%,42.0799745745572%,43.7316566978689%,31.7658764533997%,46.8554951240259%,44.4547179787134%,53.247662970415%,53.247662970415%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,9.62895352302173%,10.9414221587469%,22.2499598683761%,22.3030026212286%,60.923817770206%,60.923817770206%,9.62895352302173%
,,,,,,OPM,41.7509213411077%,44.0360534537489%,45.3909930153341%,49.0538286066102%,53.247662970415%,53.247662970415%,41.7509213411077%
,,,,,,Price to Earning,40.5127345779417,32.3772950569293,39.083315987897,44.7383487031642,43.2591914473655,44.7383487031642,32.3772950569293
