JSW STEEL LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,03/31/2017,03/31/2018,03/31/2019,03/31/2020,03/31/2021,03/31/2022,03/31/2023,03/31/2024,03/31/2025,03/31/2026,Trailing,Best Case,Worst Case
Sales,55604,71933,84757,73326,79839,146371,165960,175006,168824,185470,185470,203757.291024973,192470.313588997
Expenses,43296,57017,65827,61513,59661,107257,147490,146849,146099,156124,156124,171517.783490499,163296.861258338
Operating Profit,12308,14916,18930,11813,20178,39114,18470,28157,22725,29346,29346,32239.5075344738,29173.4523306595
Other Income,18,-177,196,-289,473,1600,1561,1500,73,18607,18607,0,0
Depreciation,3430,3387,4041,4246,4679,6001,7474,8172,9309,9601,9601,9601,9601
Interest,3768,3701,3917,4265,3957,4968,6902,8105,8412,9102,9102,9102,9102
Profit before tax,5128,7651,11168,3013,12015,29745,5655,13380,5077,29250,29250,13536.5075344738,10470.4523306595
Tax,1674,1538,3644,-906,4142,8807,1516,4407,1586,3742,3742,12.7931623931624%,12.7931623931624%
Net profit,3523,6214,7639,4030,7911,20665,4144,8812,3504,22316,22316,11804.7601432259,9130.95036069956
EPS,14.5747145457554,25.7074300843952,31.6026807876882,16.6721826907165,32.7279496938607,85.491477742843,17.14380274698,36.0335309752607,14.3283582089552,91.2533224289511,91.2550394351297,48.2722644018787,37.3384672542503
Price to earning,12.9127743400511,11.2088216929514,9.27294750621809,8.77209677419355,14.3134539249147,8.5698600532301,40.1369527027027,23.039651611439,74.2025,12.3009219842266,14.0868932604409,30.9074917140266,14.0868932604409
Price,188.2,288.15,293.05,146.25,468.45,732.65,688.1,830.2,1063.2,1122.5,1285.5,1491.97461201837,525.983002719093
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,19.2236730059608%,15.5519794013518%,16.1552559235502%,14.9379652605459%,24.8135507521173%,25.2714735059279%,24.6959459459459%,25.2666817975488%,24.3721461187215%,9.70379996415128%,,,
OPM,22.1350981943745%,20.7359626318936%,22.3344384534611%,16.1102473883752%,25.2733626423177%,26.7225065074366%,11.1291877560858%,16.0891626572803%,13.4607638724352%,15.8225049873295%,15.8225049873295%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,14.3219799644079%,11.8369828802835%,18.361842389693%,3.77436436566407%,9.85997251575605%,9.85997251575605%,3.77436436566407%
,,,,,,OPM,17.890712374388%,17.0691277407629%,16.3743968556291%,15.1573776686189%,15.8225049873295%,15.8225049873295%,15.1573776686189%
,,,,,,Price to Earning,20.8015339863971,24.4277912888934,28.7227966020065,30.9074917140266,14.0868932604409,30.9074917140266,14.0868932604409
