KAYNES TECHNOLOGY INDIA LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,12/30/1899,12/30/1899,03/31/2019,03/31/2020,03/31/2021,03/31/2022,03/31/2023,03/31/2024,03/31/2025,03/31/2026,Trailing,Best Case,Worst Case
Sales,0,0,364.19,367.77,420.14,705.99,1125.91,1804.52,2721.73,3626.35,3626.36,5355.39775170847,4831.64140774434
Expenses,0,0,327.98,324.59,378.07,610.82,956.05,1547.74,2305.46,3052.29,3052.29,4507.61286898218,4122.900014169
Operating Profit,0,0,36.21,43.18,42.07,95.1700000000001,169.86,256.78,416.27,574.06,574.07,847.784882726282,708.741393575342
Other Income,0,0,2.33,1.08,4.04,4.11,11.4,55.8,105.87,154.25,154.25,0,0
Depreciation,0,0,5.13,8.38,10.08,13.16,18.74,25.14,44.74,107.07,107.06,107.06,107.06
Interest,0,0,19.84,24.6,25.16,27.09,36.48,55.87,105.78,116.93,116.93,116.93,116.93
Profit before tax,0,0,13.57,11.28,10.87,59.03,126.04,231.57,371.62,504.31,504.33,623.794882726282,484.751393575342
Tax,0,0,3.83,1.93,1.14,17.36,30.84,48.28,78.19,140.42,140.44,27.8468463109472%,27.8468463109472%
Net profit,0,0,9.7,9.48,9.38,41.68,95.2,183.29,293.43,363.89,363.88,450.087680437941,349.763418016242
EPS,0,0,14.2647058823529,13.9411764705882,13.7941176470588,9.02164502164502,16.3855421686747,28.6838810641628,45.8484375,54.3119402985075,54.2823715724623,67.1425379513025,52.1765082423109
Price to earning,,,,,,,58.7591176470588,100.124177532871,103.544422860648,63.1463354310369,61.1874519072222,82.0005969329447,61.1874519072222
Price,0,0,0,0,0,0,962.8,2871.95,4747.35,3429.6,3321.4,5505.7281915997,3192.54758876318
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,
OPM,0%,0%,9.94261237266262%,11.7410337982979%,10.0133288903699%,13.4803609116277%,15.0864633940546%,14.2298228891894%,15.2943164825313%,15.830242530368%,15.8304746357229%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,,38.8646396860458%,53.8916788027752%,47.6801122811771%,33.2369485584536%,47.6801122811771%,33.2369485584536%
,,,,,,OPM,14.6687498877575%,14.8285295490981%,15.1448745555611%,15.2970831391213%,15.8304746357229%,15.8304746357229%,14.6687498877575%
,,,,,,Price to Earning,77.3523010757675,77.3523010757675,77.3523010757675,82.0005969329447,61.1874519072222,82.0005969329447,61.1874519072222
