L T FOODS LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,03/31/2017,03/31/2018,03/31/2019,03/31/2020,03/31/2021,03/31/2022,03/31/2023,03/31/2024,03/31/2025,03/31/2026,Trailing,Best Case,Worst Case
Sales,3244.78,3613.7,3890.43,4135.09,4644.35,5427.37,6935.79,7772.41,8681.47,10945.56,10945.56,13800.1149245001,12528.829856216
Expenses,2886.59,3237.4,3490.38,3667.82,4092.25,4835.24,6235.08,6834.28,7702.68,9786.89,9789.05,12251.0505837456,11205.0312550469
Operating Profit,358.19,376.3,400.05,467.27,552.1,592.13,700.71,938.129999999999,978.789999999999,1158.67,1156.51,1549.06434075453,1323.7986011691
Other Income,47.84,36.2,21.28,33.32,41.77,22.83,70.88,98.27,116.57,83.44,85.61,0,0
Depreciation,55.1,50.12,69.02,91.37,108.49,122.63,126.91,152.91,185.68,244.89,244.89,244.89,244.89
Interest,156.77,146.58,138.68,132.27,87.39,68.73,82.1,82.97,87.68,130.86,130.87,130.87,130.87
Profit before tax,194.16,215.8,213.63,276.95,397.99,423.6,562.58,800.52,822,866.36,866.36,1173.30434075453,948.038601169095
Tax,64.89,71.38,76.16,77.64,108.92,114.39,139.82,202.93,210.2,240.98,240.99,27.8163811810333%,27.8163811810333%
Net profit,117.21,134.66,126.53,184.5,274.05,292.18,402.65,593.35,605.34,625.38,625.37,846.93353291664,684.328570124564
EPS,4.39647411852963,4.21075672295185,3.95653533458412,5.76923076923077,8.56941838649156,9.13633520950594,11.5937230060466,17.0846530377196,17.429887705154,18.0069104520587,18.0090616470158,24.3895265286481,19.7069181543525
Price to earning,14.966538691238,20.1863953661072,9.90765826286256,3.458,6.82660098522168,8.54828530357998,8.32346951446666,10.9835417544451,21.8590048567747,20.1755876427132,22.7302237075651,22.7302237075651,12.8630892205958
Price,65.8,85,39.2,19.95,58.5,78.1,96.5,187.65,381,363.3,409.35,554.379394117765,253.491846482416
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,3.4126780991383%,3.5645328976682%,3.79356674306489%,8.66666666666667%,11.6694033935413%,10.9453076870422%,8.62535700981001%,8.78065222886998%,17.2118148478541%,16.6602705555023%,,,
OPM,11.038961038961%,10.4131499571077%,10.282925023712%,11.3001168051965%,11.887562306889%,10.9100724660379%,10.1028145315818%,12.0700014538605%,11.2744731019055%,10.5857534927404%,10.5660194635999%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,14.4649506851731%,15.9250247282686%,18.7032497984688%,16.4252958649067%,26.0795694738334%,26.0795694738334%,14.4649506851731%
,,,,,,OPM,11.0005658536421%,11.0992451079518%,10.986278563273%,11.2250104381695%,10.5660194635999%,11.2250104381695%,10.5660194635999%
,,,,,,Price to Earning,13.4513914622704,12.8630892205958,15.4366854632575,18.9370894903745,22.7302237075651,22.7302237075651,12.8630892205958
