LIC HOUSING FINANCE LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,03/31/2017,03/31/2018,03/31/2019,03/31/2020,03/31/2021,03/31/2022,03/31/2023,03/31/2024,03/31/2025,03/31/2026,Trailing,Best Case,Worst Case
Sales,14092.44,14876.44,17398.37,19740.12,19885.52,19977.86,22716.81,27277.4,28110.6,28837.11,28847.17,31223.855627887,29582.6564300549
Expenses,886.69,940.45,1103.75,1592.17,2012.24,3011.78,2963.65,2756.33,1608.65,1851.07,1863.04,2016.53375318891,2841.60880371747
Operating Profit,13205.75,13935.99,16294.62,18147.95,17873.28,16966.08,19753.16,24521.07,26501.95,26986.04,26984.13,29207.3218746981,26741.0476263374
Other Income,8.54,0.02,0.09,-33.24,-5.3,27.45,11.4,4.16,3.04,9.7,9.46,0,0
Depreciation,9.7,10.21,11.92,51.11,52.47,55.19,69.04,69.23,97.77,121.72,121.72,121.72,121.72
Interest,10231.41,11143.82,12891.04,14781.42,14450.38,14151.09,16134.75,18387.87,19528.36,19770.55,19768.38,19768.38,19768.38
Profit before tax,2973.18,2781.98,3391.75,3282.18,3365.13,2787.25,3560.77,6068.13,6878.86,7103.47,7103.49,9317.22187469813,6850.94762633738
Tax,1031.36,773.82,957.38,878.52,624,501.25,669.6,1304.81,1436.16,1499.23,1499.22,21.1054003032312%,21.1054003032312%
Net profit,1942.27,2007.93,2433.95,2403.26,2740.72,2285.65,2890.77,4762.97,5442.23,5603.67,5603.7,7350.78490090287,5405.02770523416
EPS,38.483653655637,39.7846245294234,48.2256786209629,47.6175946106598,54.3039429363979,41.5497182330485,52.5499000181785,86.5837120523541,98.9316487911289,101.866387929467,101.873774924644,133.635313545346,98.2619654700452
Price to earning,16.0704595653539,13.432324832041,11.0356145360422,4.94145077935804,7.88524694240929,8.6390477544681,6.25595862002166,7.05617702819879,5.69938949658504,4.86176068540796,5.29282438388922,5.72753789852025,5.29282438388922
Price,618.45,534.4,532.2,235.3,428.2,358.95,328.75,610.95,563.85,495.25,539.2,765.401322911604,520.083326848735
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,16.1203128298331%,17.1006957413854%,15.7669631668687%,16.808834666245%,15.660483376631%,20.468575678691%,16.1839233145494%,10.4002334677733%,10.1135012669439%,0%,,,
OPM,93.7080448808013%,93.678259045847%,93.6560149025455%,91.9343448773361%,89.8808781465106%,84.9244113233349%,86.9539341131083%,89.8951879577966%,94.2774255974614%,93.5809448311568%,93.5416888381079%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,8.28086753258976%,7.48528801350146%,7.71667927825004%,8.27664640418906%,2.58446991526329%,8.27664640418906%,2.58446991526329%
,,,,,,OPM,91.204478343163%,90.5155662641459%,90.394342000908%,92.619718751332%,93.5416888381079%,93.5416888381079%,90.394342000908%
,,,,,,Price to Earning,8.28820496579775,6.32898196129226,6.30085966142846,5.72753789852025,5.29282438388922,5.72753789852025,5.29282438388922
