MAZAGON DOCK SHIPBUILDERS LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,03/31/2017,03/31/2018,03/31/2019,03/31/2020,03/31/2021,03/31/2022,03/31/2023,03/31/2024,03/31/2025,03/31/2026,Trailing,Best Case,Worst Case
Sales,3504.8,4457.21,4613.96,4904.84,4047.82,5733.28,7827.18,9466.58,11431.88,13006.31,13006.31,15405.3071235218,14797.5748359937
Expenses,3375.33,4299.82,4352.93,4642.08,3821.53,5292.08,7026.57,8050.76,9365.96,10740.68,10580.09,12531.5739702115,13076.1591717206
Operating Profit,129.47,157.39,261.03,262.76,226.29,441.2,800.610000000001,1415.82,2065.92,2265.63,2426.22,2873.73315331028,1721.41566427311
Other Income,766.29,565.22,617,545.84,447.96,396.3,686.83,1101.47,1121.23,1139.4,1139.4,0,0
Depreciation,39.39,52.48,64.33,68.75,59.65,74.51,75.58,83.13,115.19,96.67,92.68,92.68,92.68
Interest,17.43,19.72,35.59,13.07,10.78,13.66,9.18,9.33,10.3,71.57,59.14,59.14,59.14
Profit before tax,838.94,650.41,778.11,726.78,603.82,749.33,1402.68,2424.83,3061.66,3236.79,3413.8,2721.91315331028,1569.59566427311
Tax,314.23,256.83,307.73,349.63,150.35,186.22,356.61,615.95,784.32,814.91,814.71,23.8651942117289%,23.8651942117289%
Net profit,585.1,496.17,532.47,470.52,513.86,610.84,1119.03,1936.97,2413.51,2583.38,2760.59,2072.32329299819,1195.00861065546
EPS,117.489959839357,11.070281124498,11.880187416332,11.6638572136837,12.7382250867625,15.1422905304908,27.7399603371344,48.0161130391671,59.829201784829,64.0401586514626,68.436459011054,51.3739700929594,29.6248837389756
Price to earning,,,,,8.33318608181217,7.91491880034052,11.9513509021206,19.4111922229048,44.1891237243682,32.248514736508,36.0787223021166,36.0787223021166,22.8752869671673
Price,0,0,0,0,106.15,119.85,331.53,932.05,2643.8,2065.2,2469.1,1853.50720054112,677.677716898035
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,34.0454623141343%,49.4568393897253%,18.7785227336751%,46.165944061889%,28.4163001595765%,28.8258791172811%,28.7659848261441%,28.5306432211134%,28.922606494276%,28.2931663169956%,,,
OPM,3.69407669481854%,3.53113270409068%,5.65739624964238%,5.35715742001778%,5.59041656990677%,7.69542042251556%,10.2285880738657%,14.9559819913844%,18.0715682809827%,17.4194679351792%,18.6541763190328%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,15.6849231241858%,15.9570564327146%,26.2951234713145%,18.4448711703917%,13.7722754262641%,18.4448711703917%,13.7722754262641%
,,,,,,OPM,11.6330931477091%,13.2550685606995%,14.7248417420499%,16.9515085930387%,18.6541763190328%,18.6541763190328%,11.6330931477091%
,,,,,,Price to Earning,22.8752869671673,22.8752869671673,25.2989704480598,32.9818882464744,36.0787223021166,36.0787223021166,22.8752869671673
