MAHINDRA & MAHINDRA LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,03/31/2017,03/31/2018,03/31/2019,03/31/2020,03/31/2021,03/31/2022,03/31/2023,03/31/2024,03/31/2025,03/31/2026,Trailing,Best Case,Worst Case
Sales,83773.05,92093.95,104720.68,75381.93,74277.78,90170.57,121268.55,139078.27,159210.82,198638.55,198716.52,247830.351895069,217669.290159875
Expenses,73038.22,78867.85,89514.17,65224.18,62790.76,75487.72,100983.26,114186.34,128692.63,161077.14,161261.8,201118.50107496,181585.523120846
Operating Profit,10734.83,13226.1,15206.51,10157.75,11487.02,14682.85,20285.29,24891.93,30518.19,37561.41,37454.72,46711.8508201094,36083.7670390289
Other Income,2076.61,4366.41,2676.45,884.69,1151.51,3204.47,3961.45,3297.85,3718.47,4536.22,4642.91,0,0
Depreciation,2812.72,3279.9,3990.77,3366.68,3378.11,3507.5,4356.81,4723.78,6073.65,7322.02,7322.02,7322.02,7322.02
Interest,3648.46,3987.09,5021.35,6021.15,6102.22,5018.05,5829.7,7488.21,9083.39,9590.85,9590.85,9590.85,9590.85
Profit before tax,6350.26,10325.52,8870.84,1654.61,3158.2,9361.77,14060.23,15977.79,19079.62,25184.76,25184.76,29798.9808201094,19170.8970390289
Tax,2299.73,2367.73,2853.99,1975.61,1645.81,2108.76,2685.75,3707.97,5006.45,6563.05,6563.05,26.0596090651648%,26.0596090651648%
Net profit,3698.04,7510.39,5315.46,127.04,1812.49,6577.32,10281.5,11268.64,12929.1,17098.85,17098.85,22033.4829129854,14175.0362163727
EPS,29.7700853324746,60.41175997426,42.7562741312741,1.02187902187902,14.579231016731,52.9063706563707,82.6819461198231,90.6203457981504,103.973462002413,137.505830317652,137.502641800916,177.185138685399,113.990410312676
Price to earning,21.6139790267277,12.2310623016914,15.7614294905803,278.849055415617,54.5467726718492,15.2448559595702,14.0139420318047,21.2021923231197,25.6392347495185,21.4878161396819,22.40902399869,22.6845668027525,19.9995108670642
Price,643.45,738.9,673.9,284.95,795.25,806.55,1158.7,1921.35,2665.8,2954.7,3081.3,4019.36811496391,2279.75244978947
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,21.8339985505836%,10.8476390706741%,17.3969891599222%,205.061397984887%,53.6008474529515%,19.5292307505185%,17.6011282400428%,20.873326328643%,21.8440572042911%,21.5684095714039%,,,
OPM,12.8141806941493%,14.3615297204648%,14.521019153046%,13.4750463406814%,15.4649479292461%,16.2834170838667%,16.7275769356523%,17.8977851824012%,19.1684145587593%,18.9094261914417%,18.8483171907399%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,10.0682684338671%,9.57682841863112%,21.7421379441879%,17.8795449088294%,24.7644789468454%,24.7644789468454%,9.57682841863112%
,,,,,,OPM,16.577334824093%,17.4335460769643%,18.061218739287%,18.7092692207662%,18.8483171907399%,18.8483171907399%,16.577334824093%
,,,,,,Price to Earning,45.7272149189864,56.6741116612314,19.9995108670642,22.6845668027525,22.40902399869,22.6845668027525,19.9995108670642
