MTAR TECHNOLOGIES LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,03/31/2017,03/31/2018,03/31/2019,03/31/2020,03/31/2021,03/31/2022,03/31/2023,03/31/2024,03/31/2025,03/31/2026,Trailing,Best Case,Worst Case
Sales,100.68,156.62,183.67,213.77,246.43,322.01,573.35,580.03,675.96,876.11,876.1,1135.52389505296,1009.10786473001
Expenses,112.76,124.74,129.95,155.81,163.34,227.57,419.21,468.36,555.31,705.06,705.04,913.810942778382,818.195693914311
Operating Profit,-12.08,31.88,53.72,57.96,83.09,94.44,154.14,111.67,120.65,171.05,171.06,221.71295227458,190.912170815694
Other Income,0.78,0.94,3.53,4.37,1.31,8.75,19.52,6.36,5.74,19.92,19.92,0,0
Depreciation,5,11.21,11.23,12.05,12.56,14.31,18.27,22.64,31.77,34.36,34.36,34.36,34.36
Interest,5.35,4.46,4.46,4.75,7,6.65,14.5,22.17,22.16,29.34,29.35,29.35,29.35
Profit before tax,-21.65,17.15,41.56,45.53,64.84,82.23,140.89,73.22,72.46,127.27,127.27,158.00295227458,127.202170815694
Tax,-6.59,11.73,2.35,14.22,18.77,21.35,36.82,16.96,18.61,31.94,31.95,25.1041093737723%,25.1041093737723%
Net profit,-15.06,5.42,39.2,31.32,46.08,60.88,104.08,56.27,53.85,95.32,95.33,118.33771832178,95.2691987283099
EPS,-5.34042553191489,1.92198581560284,13.9007092198582,11.6865671641791,14.961038961039,19.7662337662338,33.7922077922078,18.2694805194805,17.4837662337662,30.9480519480519,30.991956693885,38.4718078409921,30.9721900896769
Price to earning,,,,,68.4243923611111,88.7245400788436,46.8022098385857,92.1618979918251,73.2765459610028,112.049055812002,260.567607258995,260.567607258995,106.000892757481
Price,0,0,0,0,1023.7,1753.75,1581.55,1683.75,1281.15,3467.7,8075.5,10024.5069160551,3283.07980016015
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0%,0%,21.5816326530612%,42.72030651341%,40.0607638888889%,15.1609724047306%,0%,0%,0%,0%,,,
OPM,0%,20.3549993615119%,29.2481080198182%,27.1132525611639%,33.7174856957351%,29.328281730381%,26.8841022063312%,19.2524524593555%,17.8486892715545%,19.5238040885277%,19.5251683597763%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,27.1749906890317%,25.0061809651227%,28.8762860394569%,15.180671696154%,29.6097402213149%,29.6097402213149%,15.180671696154%
,,,,,,OPM,22.3640302090042%,22.737308109162%,21.5345537182985%,18.9189062426715%,19.5251683597763%,19.5251683597763%,18.9189062426715%
,,,,,,Price to Earning,106.000892757481,106.000892757481,112.263642823542,134.513776755956,260.567607258995,260.567607258995,106.000892757481
