PARAS DEFENCE AND SPACE TECHNOLOGIES LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,12/30/1899,12/30/1899,03/31/2019,03/31/2020,03/31/2021,03/31/2022,03/31/2023,03/31/2024,03/31/2025,03/31/2026,Trailing,Best Case,Worst Case
Sales,0,0,154.4,147.04,143.33,182.56,222.43,253.5,364.66,476.57,476.57,622.82390418472,559.825052200354
Expenses,0,0,111.15,107.24,99.27,130.06,164.72,200.04,264.87,356.18,356.18,465.487584599353,419.890522878873
Operating Profit,0,0,43.25,39.8,44.06,52.5,57.71,53.46,99.79,120.39,120.39,157.336319585367,139.934529321481
Other Income,0,0,2.72,1.93,1.28,2.91,8.16,8.27,7.81,18.89,18.89,0,0
Depreciation,0,0,9.41,9.71,9.65,10.42,11.27,13.36,14.93,16.95,16.95,16.95,16.95
Interest,0,0,9.75,10.22,13.08,8.41,7.75,7.9,9.07,4.66,4.66,4.66,4.66
Profit before tax,0,0,26.81,21.8,22.61,36.58,46.85,40.47,83.6,117.67,117.67,135.726319585367,118.324529321481
Tax,0,0,7.84,2.14,6.83,9.49,10.9,10.43,22.11,28.21,28.21,23.9738251041047%,23.9738251041047%
Net profit,0,0,18.97,19.66,15.73,27.04,36.06,32.06,63.47,88.1,88.1,103.187529107733,89.957613606694
EPS,0,0,16.640350877193,3.4612676056338,2.63484087102178,3.46666666666667,4.62307692307692,4.11025641025641,7.87468982630273,10.9305210918114,10.9322415945743,12.8044381129728,11.1627510240607
Price to earning,,,,,,90.2451923076923,50.8708818635607,74.4235807860262,60.8214432015125,54.4621793416572,74.2757094211124,74.2757094211124,65.9957281875771
Price,0,0,0,0,0,312.85,235.18,305.9,478.95,595.3,812,951.058724579787,736.693882409505
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0%,0%,0%,0%,0%,0%,0%,0%,6.34945643611155%,9.14869466515324%,,,
OPM,0%,0%,28.0116580310881%,27.0674646354733%,30.7402497732506%,28.7576687116564%,25.9452411994785%,21.0887573964497%,27.365216914386%,25.2617663722014%,25.2617663722014%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,,17.4696376608586%,27.1621668912205%,28.9172737392728%,30.6888608566884%,30.6888608566884%,17.4696376608586%
,,,,,,OPM,26.2773272169052%,26.1277365942495%,25.5947776918358%,24.9961177641976%,25.2617663722014%,25.2617663722014%,24.9961177641976%
,,,,,,Price to Earning,67.5164978202602,67.5164978202602,67.5164978202602,65.9957281875771,74.2757094211124,74.2757094211124,65.9957281875771
