PATANJALI FOODS LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,03/31/2016,03/31/2017,03/31/2018,03/31/2019,03/31/2020,03/31/2021,03/31/2022,03/31/2023,03/31/2024,03/31/2025,Trailing,Best Case,Worst Case
Sales,27692.39,18526.9,11994.13,12729.23,13117.79,16318.63,24205.38,31524.66,31741.81,34156.97,38718.82,38718.82,35070.1907085101
Expenses,27613.67,19202.03,17041.54,12602.73,12712.12,15362.06,22714.78,30231.14,30435.18,32200.04,36894.55,36894.55,33867.2406148355
Operating Profit,78.7200000000012,-675.129999999997,-5047.41,126.5,405.670000000002,956.57,1490.6,1293.52,1306.63,1956.93,1824.27,1824.27,1202.95009367462
Other Income,114.06,138.39,34.12,95.87,7500.78,63.67,79.01,289.81,219.82,132.43,143.97,0,0
Depreciation,160.22,156.06,140.37,138.24,135.77,133.25,136.73,159.63,268.83,268.39,272.1,272.1,272.1
Interest,1296.66,937.64,856.59,7.41,112.65,372.59,358.5,244.74,197.54,94.8,119.41,119.41,119.41
Profit before tax,-1264.1,-1630.44,-6010.25,76.72,7658.03,514.4,1074.38,1178.96,1060.08,1726.17,1576.73,1432.76,811.440093674617
Tax,-202.53,-373.23,-436.96,0,-14,-166.37,268.07,292.52,294.94,424.83,-72.66,-4.6082715493458%,-4.6082715493458%
Net profit,-1061.58,-1257.2,-5573.28,76.72,7672.02,680.77,806.31,886.44,765.15,1301.34,1649.39,1498.78547145041,848.833456651409
EPS,-10.591439688716,-12.5431507532675,-55.6049087099671,0.765439489174898,86.4452957746479,7.67064788732394,9.08518309859155,8.16243093922652,7.04558011049724,11.977358490566,15.1583224350411,13.7742277067281,7.80099990273526
Price to earning,-1.03385378398237,-0.721509306395164,-0.095675006459392,2.87416579770594,0.663425342999627,27.8985560468293,35.1429350994035,39.5801204819277,63.320548911978,50.3282923755514,30.573963707795,45.950731369313,30.573963707795
Price,10.95,9.05,5.32,2.2,57.35,214,319.28,323.07,446.13,602.8,463.45,632.935837171612,238.50748791074
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0%,0%,0%,0%,0%,0%,18.340340563803%,24.4957357519967%,28.37874926485%,27.8251648300982%,,,
OPM,0.284265821765478%,0%,0%,0.993775742916107%,3.0925178707694%,5.86182786177516%,6.15813509228115%,4.10320047860945%,4.11643192369938%,5.72922598228122%,4.71158470221975%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,2.35859643581628%,16.1261649600718%,21.0943088622277%,12.1645997891304%,13.3555464667973%,13.3555464667973%,2.35859643581628%
,,,,,,OPM,3.43012133487689%,4.60114434876831%,5.07747696677249%,4.67760120151783%,4.71158470221975%,4.71158470221975%,3.43012133487689%
,,,,,,Price to Earning,31.2977509705238,31.2977509705238,41.1407361039141,45.950731369313,30.573963707795,45.950731369313,30.573963707795
