POLYCAB INDIA LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,03/31/2017,03/31/2018,03/31/2019,03/31/2020,03/31/2021,03/31/2022,03/31/2023,03/31/2024,03/31/2025,03/31/2026,Trailing,Best Case,Worst Case
Sales,5500.12,6770.3,7985.55,8829.96,8792.23,12203.76,14107.78,18039.44,22408.31,28883.79,28883.8,37230.5329926309,34707.1055242649
Expenses,5020.36,6041.42,7035.11,7701.02,7681.08,10939.93,12264.93,15547.64,19444.78,24878.06,24878.08,32067.2549399078,30296.7784797385
Operating Profit,479.759999999999,728.88,950.440000000001,1128.94,1111.15,1263.83,1842.85,2491.8,2963.53,4005.73,4005.72,5163.27805272303,4410.32704452644
Other Income,75.39,64.54,63.78,91.48,163.96,160.79,133.33,220.88,204.35,236.25,236.26,0,0
Depreciation,127.88,132.95,141.45,160.89,176.17,201.52,209.16,245.04,298.1,385.87,385.88,385.88,385.88
Interest,65.95,93.68,116.71,49.54,42.69,35.19,59.76,108.34,168.93,243.04,243.04,243.04,243.04
Profit before tax,361.32,566.79,756.06,1009.99,1056.25,1187.91,1707.26,2359.3,2700.85,3613.07,3613.06,4534.35805272303,3781.40704452644
Tax,128.36,208.23,255.76,244.37,170.34,270.63,424.17,556.39,655.31,904.65,904.65,25.0383331580433%,25.0383331580433%
Net profit,232.7,358.01,499.7,759.06,882.09,908.58,1270.78,1784.05,2019.99,2672.03,2672.04,3399.03037690367,2834.60575065619
EPS,16.4801699716714,25.3548158640227,35.3895184135977,50.9778374748153,59.1609657947686,60.8152610441767,84.8317757009346,118.778295605859,134.307845744681,177.425630810093,177.473605575118,225.759410955093,188.271022497013
Price to earning,,,,14.5563255869101,23.3185848382818,38.8783992603843,33.9501322022695,42.6424707827695,38.3294808390141,38.571090144946,52.1964940644601,52.1964940644601,35.3053722148794
Price,0,0,0,742.05,1379.55,2364.4,2880.05,5065,5147.95,6843.5,9263.5,11783.8497539135,6646.97852653299
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,6.06789858186506%,0%,8.47708625175105%,13.7301399098885%,16.905304447392%,23.0271412533844%,23.5713498796015%,25.2638659230403%,26.0644854677498%,26.480990108644%,,,
OPM,8.72271877704485%,10.7658449404015%,11.9019979838584%,12.7853353809077%,12.6378632042155%,10.3560705880811%,13.0626505375048%,13.8130673679449%,13.2251383526915%,13.8684362405349%,13.8683968175933%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,20.2351182590365%,20.1611821306923%,26.8560042293979%,26.9789797864935%,28.8976723367358%,28.8976723367358%,20.1611821306923%
,,,,,,OPM,12.7072741385565%,13.0735838090529%,13.1402501885134%,13.6461125773349%,13.8683968175933%,13.8683968175933%,12.7072741385565%
,,,,,,Price to Earning,35.3053722148794,35.3053722148794,40.7613445489739,42.9348839577974,52.1964940644601,52.1964940644601,35.3053722148794
