REC LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,03/31/2017,03/31/2018,03/31/2019,03/31/2020,03/31/2021,03/31/2022,03/31/2023,03/31/2024,03/31/2025,03/31/2026,Trailing,Best Case,Worst Case
Sales,24337.82,22658.45,25407.71,29942.17,35556.45,39276.46,39485.99,47517.36,56368.53,59584.16,59505.02,68342.9022845032,62978.7159244245
Expenses,1887.94,3379.11,1702.49,3981.45,3291.87,4838.5,1858.26,-366,2152.96,2578.57,2578.57,1825.12325780817,4192.41962469382
Operating Profit,22449.88,19279.34,23705.22,25960.72,32264.58,34437.96,37627.73,47883.36,54215.57,57005.59,56926.45,66517.779026695,58786.2962997307
Other Income,24.4,18.05,32.71,72.33,14.92,61.77,27.53,48.31,57.89,25.91,105.05,0,0
Depreciation,40.33,6.93,8.29,11.77,10.86,18.24,24.26,23.99,24.7,27.05,27.05,27.05,27.05
Interest,13461.59,13332.94,15639.2,18991.3,21489.05,22050.96,23733.33,29947.74,34131.29,36238.12,36238.13,36238.13,36238.13
Profit before tax,8972.36,5957.52,8090.44,7029.98,10779.59,12430.53,13897.67,17959.94,20117.47,20766.33,20766.32,30252.599026695,22521.1162997307
Tax,2658.99,1507,2349.06,2057.71,2401.35,2394.83,2730.69,3814.48,4233.24,4458.16,4458.16,21.4682235465889%,21.4682235465889%
Net profit,6313.37,4450.52,5741.38,4972.27,8378.24,10035.7,11166.98,14145.46,15884.23,16308.17,16308.16,23757.903438991,17686.2327073172
EPS,23.976036761355,16.9015646361841,21.8038128512836,18.8829940756494,31.8177122892298,38.1121828953365,42.408400425338,53.7196566914781,60.3229150843081,61.9328953364727,61.9322947557482,90.2236351962571,67.1656996956325
Price to earning,5.66190323076265,5.53380719556366,5.25963054178612,3.52486473984719,3.09135990375067,2.4215353986269,2.72233800006806,8.39543712258209,7.11504076684863,4.9262996399964,5.4406186841434,6.46934905339263,4.70468678198292
Price,135.75,93.53,114.68,66.56,98.36,92.29,115.45,451,429.2,305.1,336.95,583.688188950548,315.993579560676
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,30.1867307000857%,40.6031205342297%,37.8377672266946%,43.6905075548995%,29.9599915972806%,30.1088115427922%,29.7113454129944%,29.784467949434%,29.8396585796101%,29.9519811235718%,,,
OPM,92.2427727709384%,85.0867557136521%,93.2993174119195%,86.7028675610352%,90.741848525373%,87.6809162536542%,95.2938751187446%,100.77024481158%,96.1805638713658%,95.6723901117344%,95.6666345125168%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,10.4601072877111%,12.948575179954%,10.8772600843156%,14.6997831042733%,5.70465470715664%,14.6997831042733%,5.70465470715664%
,,,,,,OPM,93.3431166971953%,94.0416783326951%,95.4331933163387%,97.3294618800203%,95.6666345125168%,97.3294618800203%,93.3431166971953%
,,,,,,Price to Earning,4.91753047490689,4.70468678198292,5.17021160204425,6.46934905339263,5.4406186841434,6.46934905339263,4.70468678198292
