RELIANCE INDUSTRIES LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,03/31/2017,03/31/2018,03/31/2019,03/31/2020,03/31/2021,03/31/2022,03/31/2023,03/31/2024,03/31/2025,03/31/2026,Trailing,Best Case,Worst Case
Sales,303954,390823,568337,596679,466307,694673,876396,899041,962820,1057219,1057219,1160873.28260838,1125433.44502092
Expenses,257647,326508,484087,507413,385517,586092,734078,736543,797222,878270,878270,959229.273680853,940035.625299616
Operating Profit,46307,64315,84250,89266,80790,108581,142318,162498,165598,178949,178949,201644.008927527,185397.819721306
Other Income,9222,9869,8406,8570,22432,19600,12020,15792,17824,28962,28962,0,0
Depreciation,11646,16706,20934,22203,26572,29782,40303,50832,53136,57688,57688,57688,57688
Interest,3849,8052,16495,22027,21189,14584,19571,23118,24269,27061,27061,27061,27061
Profit before tax,40034,49426,55227,53606,55461,83815,94464,104340,106017,123162,123162,116895.008927527,100648.819721306
Tax,10201,13346,15390,13726,1722,15970,20376,25707,25230,27552,27552,22.3705363667365%,22.3705363667365%
Net profit,29901,36075,39588,39354,49128,60705,66702,69621,69648,80775,80775,90744.9684444948,78133.1389028602
EPS,21.5546200314298,26.6947365305352,29.2754351973733,29.1000244016061,38.7478409010245,44.867625537702,49.2949627527492,51.4514388755044,51.4675888977565,59.6896360613338,59.6894815966651,67.0568879474791,57.7372523259913
Price to earning,13.9223052673824,15.0246847179487,21.1586948519753,17.3903634243025,23.711772801661,26.9350112807841,21.690045803724,28.8786870197211,24.7748151274983,22.5147963478799,22.3892043330238,24.6393757070308,21.671852815991
Price,300.09,401.08,619.43,506.06,918.78,1208.51,1069.21,1485.85,1275.1,1343.9,1336.4,1652.2398558822,1251.27323440862
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,10.8855891107321%,9.84948024948025%,9.72996867737698%,10.4699649336789%,9.18315420941215%,8.9152458611317%,9.12926149140955%,9.71833211243734%,10.6860211348495%,10.0516248839369%,,,
OPM,15.2348710660166%,16.4562986313497%,14.8239512824257%,14.9604728840801%,17.3254958643126%,15.6305196833618%,16.2390061113926%,18.074592816123%,17.199268814524%,16.9263889506337%,16.9263889506337%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,14.8552333498241%,9.27188443619589%,17.7873374851566%,6.45225303564556%,9.8044286574853%,9.8044286574853%,6.45225303564556%
,,,,,,OPM,16.4734592295557%,16.7112811051775%,16.8801525294595%,17.3700275429245%,16.9263889506337%,17.3700275429245%,16.4734592295557%
,,,,,,Price to Earning,21.671852815991,23.5355870173243,24.5304266521052,24.6393757070308,22.3892043330238,24.6393757070308,21.671852815991
