STATE BANK OF INDIA,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,03/31/2017,03/31/2018,03/31/2019,03/31/2020,03/31/2021,03/31/2022,03/31/2023,03/31/2024,03/31/2025,03/31/2026,Trailing,Best Case,Worst Case
Sales,230447.1,228970.28,253322.17,269851.66,278115.48,289972.69,350844.58,439188.51,490937.79,514932.59,515235.25,585188.228771763,540114.939023692
Expenses,145666.09,169064.53,166103.52,172908.7,192820.69,197348.85,204303.16,239749.68,252043.21,283610.74,283610.74,314005.94118548,326597.904071529
Operating Profit,84781.01,59905.75,87218.65,96942.96,85294.79,92623.84,146541.42,199438.83,238894.58,231321.85,231624.51,271182.287586282,213517.034952163
Other Income,68193.17,77557.39,77365.19,98158.99,107222.41,117000.4,122533.56,155386.39,172405.53,197710.94,197408.28,0,0
Depreciation,2914.68,3105.07,3495.89,3661.56,3711.06,3691.27,3695.6,3849.12,3991.48,0,0,0,0
Interest,149114.67,146602.98,155867.46,161123.8,156010.17,156194.34,189980.82,259736.05,300943.34,315004.81,315004.81,315004.81,315004.81
Profit before tax,944.83,-12244.91,5220.49,30316.59,32795.97,49738.63,75398.56,91240.05,106365.29,114027.98,114027.98,-43822.5224137176,-101487.775047837
Tax,1335.5,-8057.5,2151.41,12139.76,8516.25,13382.46,18840.13,23101.79,27348.14,28859.51,28859.51,25.3091478074066%,25.3091478074066%
Net profit,241.23,-4556.29,2299.64,19767.8,22405.46,35373.88,55648.17,67084.67,77561.34,83298.78,83298.78,-32731.4154430959,-75802.0840545317
EPS,0.30253966263247,-5.10531564439863,2.5767429352576,22.1497882258028,25.1052820294467,39.6363758599825,62.35368531923,75.1682652443807,86.9073571924792,90.2419994366563,90.2418270914691,-35.4596157695816,-82.1202730991025
Price to earning,969.790200223853,-48.9489812983809,124.478851037554,8.88721815275347,14.5108905597118,12.4519457011784,8.39966390628838,10.0088780491877,8.87726913949656,10.8530396723698,10.6735427577691,10.6735427577691,10.1031824047058
Price,293.4,249.9,320.75,196.85,364.3,493.55,523.75,752.35,771.5,979.4,963.2,-378.479725090692,-829.676098244485
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,859.39145214111%,0%,0%,0%,15.9329020694063%,17.9128498202629%,18.122428823805%,18.2257734889357%,18.295338889194%,19.2260799017705%,,,
OPM,36.7897925380706%,26.1631116492499%,34.4299316558042%,35.9245372068491%,30.6688394331736%,31.9422632524463%,41.7681869276704%,45.410757672144%,48.6608659724484%,44.9227441595802%,44.9550976956643%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,9.34468588519279%,10.6651878729571%,13.1110524480984%,13.6436574682062%,4.88754389838274%,13.6436574682062%,4.88754389838274%
,,,,,,OPM,39.5317773172716%,41.4245703227675%,43.5702050499489%,46.3410359698213%,44.9550976956643%,46.3410359698213%,39.5317773172716%
,,,,,,Price to Earning,117.893149920016,10.5828059923444,10.2107232043816,10.1031824047058,10.6735427577691,10.6735427577691,10.1031824047058
