SUN PHARMACEUTICAL INDUSTRIES LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,03/31/2017,03/31/2018,03/31/2019,03/31/2020,03/31/2021,03/31/2022,03/31/2023,03/31/2024,03/31/2025,03/31/2026,Trailing,Best Case,Worst Case
Sales,31578.44,26489.46,29065.91,32837.5,33498.14,38654.49,43885.68,48496.85,52578.44,58462.04,58462.04,65004.0229600117,62602.8826926335
Expenses,21476.42,20858.04,22688.93,25854.66,25028.18,28396.92,32235.24,35479.08,37463.98,40730.64,40730.64,45288.4548287397,45931.6231012627
Operating Profit,10102.02,5631.42,6376.98,6982.84,8469.96,10257.57,11650.44,13017.77,15114.46,17731.4,17731.4,19715.5681312721,16671.2595913708
Other Income,610.4,-135.03,-258.28,382.26,-3449.21,-3505.16,459.42,865.23,1444.42,664.24,664.24,0,0
Depreciation,1264.75,1499.84,1753.25,2052.78,2079.95,2143.74,2529.43,2556.64,2575.39,2937.85,2937.85,2937.85,2937.85
Interest,399.8,517.57,555.25,302.73,141.43,127.35,172,238.47,231.36,338.91,338.91,338.91,338.91
Profit before tax,9047.87,3478.98,3810.2,5009.59,2799.37,4481.32,9408.43,11087.89,13752.13,15118.88,15118.88,16438.8081312721,13394.4995913708
Tax,1211.57,911.04,600.88,822.8,514.69,1075.5,847.59,1439.45,2772.03,3554.36,3554.36,23.5094133957013%,23.5094133957013%
Net profit,6964.37,2095.7,2665.42,3764.93,2903.82,3272.73,8473.58,9576.38,10929.04,11479.42,11479.42,12574.1407703652,10245.5313101499
EPS,29.0266744467136,8.73463093402242,11.1091568374109,15.6917851039887,12.1027799774934,13.640353436419,35.3168840911933,39.9132246905347,45.5509523611053,47.8448714208311,47.8441739329583,52.4067747390419,42.7015460744867
Price to earning,23.7075039809775,56.6824178078924,43.104081345529,22.4512378716205,49.3936104854984,67.0620452955178,27.8365440581195,40.6018309110541,38.0826285748794,36.7270294143781,38.5543285287933,38.5543285287933,38.4914543572762
Price,688.15,495.1,478.85,352.3,597.8,914.75,983.1,1620.55,1734.7,1757.2,1844.6,2020.50801042349,1643.64461171123
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,12.0579463756234%,22.8973612635396%,24.7544477043018%,25.4910449862282%,61.969405817165%,73.3118833512083%,32.5623880343373%,33.8234280594546%,35.1255005014164%,33.4414108029848%,,,
OPM,31.9902439765865%,21.2590970144352%,21.9397225134186%,21.2648344118767%,25.2848665627405%,26.536555003054%,26.547247302537%,26.8425062658709%,28.7464976138509%,30.3297661183222%,30.3297661183222%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,7.08295963095629%,10.4983314648628%,11.7816856676421%,10.0315028029486%,11.1901380109414%,11.1901380109414%,7.08295963095629%
,,,,,,OPM,26.6301787941988%,26.9847257480664%,27.995844306059%,28.7478986892911%,30.3297661183222%,30.3297661183222%,26.6301787941988%
,,,,,,Price to Earning,40.3821143885691,40.0886568924826,41.477401130457,38.4914543572762,38.5543285287933,38.5543285287933,38.4914543572762
