SUZLON ENERGY LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,03/31/2016,03/31/2017,03/31/2018,03/31/2019,03/31/2020,03/31/2021,03/31/2022,03/31/2023,03/31/2024,03/31/2025,Trailing,Best Case,Worst Case
Sales,9483.48,12714.37,8116.2,5024.69,2972.85,3345.72,6581.78,5970.53,6529.09,10889.74,15028.53,18162.7818375302,11122.4105728546
Expenses,9766.52,10235.11,7139.5,5048.15,3828.61,2809.03,5681.8,5137.33,5491.9,9026.3,12276.67,14837.0119300658,9782.90050513279
Operating Profit,-283.040000000001,2479.26,976.7,-23.4600000000009,-855.76,536.69,899.98,833.2,1037.19,1863.44,2751.86,3325.76990746439,1339.51006772179
Other Income,2562.79,108.95,555.15,92.23,-42.29,822.92,94.78,2738.95,-23.78,97.18,117.79,0,0
Depreciation,391.76,389.03,341.61,341.85,418.61,258.38,259.84,259.68,189.6,259.19,318.22,318.22,318.22
Interest,1304.02,1287.59,1580.98,1269.91,1367.29,996.26,734.52,420.76,164.32,254.8,411.71,411.71,411.71
Profit before tax,583.97,911.59,-390.74,-1542.99,-2683.95,104.97,0.4,2891.71,659.49,1446.63,2139.72,2595.83990746439,609.580067721794
Tax,-23.61,11.7,-1.56,-11.9,7.44,4.63,166.59,4.42,-0.86,-625,-1090.3,-50.9552651748827%,-50.9552651748827%
Net profit,583.1,857.71,-376.98,-1527.18,-2642.23,104.18,-199.59,2849.01,660.35,2071.63,3231.26,3918.5570158283,920.193207682664
EPS,0.938078154410464,1.37879981352581,-0.572361229199563,-2.31868699137617,-4.01164520830803,0.09890162051321,-0.17489331499023,2.28443478679218,0.489463580233187,1.53021081089067,2.37500376050891,2.88017295060156,0.676349884763555
Price to earning,13.9007607614474,12.7212085669982,-17.1744686720781,-2.4367238963318,-0.446200974177116,46.4097552313304,-48.0292800240493,3.45818582595358,82.5393382297267,37.0275778975975,22.6315431132128,36.4141612666226,22.6315431132128
Price,13.04,17.54,9.83,5.65,1.79,4.59,8.4,7.9,40.4,56.66,53.75,104.87908229897,15.3068415766429
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,
OPM,0%,19.4996684853438%,12.0339567778024%,0%,0%,16.0410913047117%,13.673808604967%,13.9552100064818%,15.8856747264933%,17.1118869688349%,18.3109059901401%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,1.54819249024742%,4.28883699701461%,29.6489198360479%,18.2745714307702%,66.7880209952689%,66.7880209952689%,1.54819249024742%
,,,,,,OPM,12.043343112967%,12.5150068741165%,15.5191695736033%,15.9637972137758%,18.3109059901401%,18.3109059901401%,12.043343112967%
,,,,,,Price to Earning,31.2411956608952,38.4132800595642,38.4132800595642,36.4141612666226,22.6315431132128,36.4141612666226,22.6315431132128
