TITAN COMPANY LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,03/31/2017,03/31/2018,03/31/2019,03/31/2020,03/31/2021,03/31/2022,03/31/2023,03/31/2024,03/31/2025,03/31/2026,Trailing,Best Case,Worst Case
Sales,13260.83,16119.77,19778.52,21052,21644,28799,40575,51084,60456,87584,87584,126884.958581448,108023.855122951
Expenses,12096.93,14475.57,17784.73,18589,19919,25455,35693,45792,54762,79229,79228,114560.567830339,97717.7794309591
Operating Profit,1163.9,1644.2,1993.79,2463,1725,3344,4882,5292,5694,8355,8356,12324.3907511088,10306.0756919914
Other Income,-42.38,69.93,178.48,153,180,177,306,534,487,452,452,0,0
Depreciation,110.53,131.43,162.84,348,375,399,441,584,693,826,826,826,826
Interest,37.74,52.92,52.54,166,203,218,300,619,953,1180,1180,1180,1180
Profit before tax,973.25,1529.78,1956.89,2102,1327,2904,4447,4623,4535,6801,6802,10318.3907511088,8300.0756919914
Tax,275.97,427.87,568.24,609,353,706,1173,1127,1198,1728,1728,25.4042928550426%,25.4042928550426%
Net profit,711.47,1130.09,1404.15,1501,973,2173,3250,3496,3337,5073,5074,7697.07654676945,6191.5001560077
EPS,8.01385447172787,12.7291056544267,15.8160621761658,16.9069610272584,10.9596756026132,24.4762333858977,36.6073439963956,39.3782383419689,37.5872944356837,57.1412480288353,57.1534024827645,86.6996676819396,69.7408948341362
Price to earning,57.7437488579982,74.0271960640303,72.1955937755938,55.2257734843438,142.162054470709,103.616841693511,68.6993298461538,96.5457105263158,81.4996143242433,69.15144726986,72.9457883326764,80.0356401132739,72.9457883326764
Price,462.75,942.3,1141.85,933.7,1558.05,2536.15,2514.9,3801.8,3063.35,3951.4,4169.1,6939.06340053216,5087.30455270234
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,32.444094620996%,29.459600562787%,31.6134316134316%,23.7175216522318%,36.5878725590956%,30.7179015186378%,27.3846153846154%,28.0034324942792%,29.3377284986515%,26.3157894736842%,,,
OPM,8.77697700671828%,10.199897393077%,10.080582369156%,11.6996009880296%,7.96987617815561%,11.6115142886906%,12.0320394331485%,10.3594080338266%,9.41842000793966%,9.53941359152357%,9.54055535257581%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,23.3374304929559%,23.6854780950875%,32.2566293118264%,29.2375597371814%,44.8723038242689%,44.8723038242689%,23.3374304929559%
,,,,,,OPM,10.1447408031322%,10.2042455831411%,10.2671155837287%,9.7130431289046%,9.54055535257581%,9.7130431289046%,9.54055535257581%
,,,,,,Price to Earning,81.2557362404942,86.2308199934767,82.0764553321268,80.0356401132739,72.9457883326764,80.0356401132739,72.9457883326764
