WAAREE ENERGIES LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,12/30/1899,12/30/1899,12/30/1899,03/31/2020,03/31/2021,03/31/2022,03/31/2023,03/31/2024,03/31/2025,03/31/2026,Trailing,Best Case,Worst Case
Sales,0,0,0,1995.78,1952.78,2854.27,6750.87,11397.61,14444.5,26536.77,26536.77,48752.1314017723,41880.4010749119
Expenses,0,0,0,1903.01,1867.95,2748.32,5915.06,9823.18,11722.86,20628.13,20628.14,37897.068552584,34687.3473008843
Operating Profit,0,0,0,92.77,84.8299999999999,105.95,835.81,1574.43,2721.64,5908.64,5908.63,10855.0628491883,7193.05377402761
Other Income,0,0,0,25.01,44.65,96.58,87.74,576.49,397.54,413.37,413.38,0,0
Depreciation,0,0,0,27.13,28.66,43.27,164.13,276.81,402.45,989.72,989.72,989.72,989.72
Interest,0,0,0,33.71,30.92,40.88,82.27,139.91,152.09,280.5,280.5,280.5,280.5
Profit before tax,0,0,0,56.94,69.9,118.38,677.15,1734.2,2564.64,5051.79,5051.79,9584.84284918828,5922.83377402761
Tax,0,0,0,17.92,21.72,38.72,176.88,459.82,636.51,1167.64,1167.64,23.1133914909369%,23.1133914909369%
Net profit,0,0,0,41.71,49.21,75.64,482.76,1237.18,1867.39,3711.3,3711.31,7369.46059766432,4553.86601647918
EPS,0,0,0,2.11618467782851,2.49670218163369,3.83764586504313,24.4931506849315,62.7691527143582,64.9979115906718,128.998957247132,129.021125507678,256.194201156771,158.312002731464
Price to earning,,,,,,,,,36.9958040366501,24.1071716110258,23.2326294489008,28.1118683655256,23.2326294489008
Price,0,0,0,0,0,0,0,0,2404.65,3109.8,2997.5,7202.09765893011,3678.00409677347
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,
OPM,0%,0%,0%,4.64830792973173%,4.34406333534755%,3.7119823983015%,12.3807746260852%,13.8136855007322%,18.8420506074977%,22.2658597862513%,22.26582210269%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,,,68.5151488661963%,57.8202662754808%,83.7153934023331%,83.7153934023331%,57.8202662754808%
,,,,,,OPM,17.1752265723562%,17.1752265723562%,17.9828123442139%,19.4824898890545%,22.26582210269%,22.26582210269%,17.1752265723562%
,,,,,,Price to Earning,28.1118683655256,28.1118683655256,28.1118683655256,28.1118683655256,23.2326294489008,28.1118683655256,23.2326294489008
