WIPRO LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,03/31/2017,03/31/2018,03/31/2019,03/31/2020,03/31/2021,03/31/2022,03/31/2023,03/31/2024,03/31/2025,03/31/2026,Trailing,Best Case,Worst Case
Sales,55448.4,54487.1,59018.9,61137.6,61934.9,79312,90487.6,89760.3,89088.4,92624,92624,96299.9153200641,93347.2840100509
Expenses,44127.5,44100,47406.3,48795.3,47163.5,62627.8,73648.6,73007.8,71067.2,74812.8,74812.8,77646.3954003299,75396.9995809632
Operating Profit,11320.9,10387.1,11612.6,12342.3,14771.4,16684.2,16839,16752.5,18021.2,17811.2,17811.2,18653.5199197342,17950.2844290877
Other Income,2622.6,2549.8,2613.8,2727.9,2403.7,2066.9,2274.6,2630.8,3909.4,3899.4,3899.4,0,0
Depreciation,2310,2111.7,1946.7,2085.5,2763.4,3077.8,3340.2,3407.1,2957.9,2910.7,2910.7,2910.7,2910.7
Interest,594.2,583,737.5,732.8,508.8,532.5,1007.7,1255.2,1477,1457.7,1457.7,1457.7,1457.7
Profit before tax,11039.3,10242.2,11542.2,12251.9,13902.9,15140.8,14765.7,14721,17495.7,17342.2,17342.2,14285.1199197342,13581.8844290877
Tax,2521.4,2239.1,2524.3,2480.1,3034.9,2897.4,3399.2,3608.9,4277.7,4076.7,4076.7,23.5073981386445%,23.5073981386445%
Net profit,8493.1,8002.8,9003.7,9722.3,10796.4,12229.6,11350,11045.2,13135.4,13197.4,13197.4,10927.0599056195,10389.1367816115
EPS,6.55089164506973,6.63389563559498,7.46086725942376,8.5084057514418,9.85225810572808,11.1542215047291,10.3409318682921,10.5692659540874,12.5432339263376,12.582853438084,12.5725281466017,10.4096843486599,9.89723086408728
Price to earning,14.7613493306331,15.8941300544809,17.0757628530493,11.559157246742,21.0185317698492,26.5325553983777,17.6608841762115,22.712078685764,20.9076862904822,14.912356797551,15.1123145468047,18.4111090801505,15.1123145468047
Price,96.7,105.44,127.4,98.35,207.08,295.95,182.63,240.05,262.25,187.64,190,191.653834033112,149.57006596043
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,5.72346964006076%,5.65302144249513%,6.70168930550774%,5.87669584357611%,5.07483976140195%,26.8954013213842%,4.8352422907489%,4.73056169195669%,47.8340971725262%,87.4213860305818%,,,
OPM,20.4170003101983%,19.0634113395648%,19.6760698691436%,20.1877404412342%,23.8498810848165%,21.0361609844664%,18.6091796002988%,18.6635962669465%,20.228447250147%,19.2295733287269%,19.2295733287269%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,5.86670355920356%,6.65022462403764%,8.38211414979389%,0.780881855729554%,3.96864238217322%,3.96864238217322%,0.780881855729554%
,,,,,,OPM,19.9839847091065%,20.0625220609812%,19.5135973864664%,19.3702350181068%,19.2295733287269%,19.3702350181068%,19.2295733287269%
,,,,,,Price to Earning,18.0133461045405,18.8019456139728,19.6396459825318,18.4111090801505,15.1123145468047,18.4111090801505,15.1123145468047
