ZEN TECHNOLOGIES LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,03/31/2016,03/31/2017,03/31/2019,03/31/2020,03/31/2021,03/31/2022,03/31/2023,03/31/2024,03/31/2025,03/31/2026,Trailing,Best Case,Worst Case
Sales,52.62,61.58,92.22,149.29,54.64,69.75,218.85,439.85,973.64,687.69,687.69,1007.25963074319,687.69
Expenses,48.48,50.23,75.55,86.58,47.26,65.18,146.24,259.07,591.16,442.75,442.75,619.826267791591,445.135806194712
Operating Profit,4.14,11.35,16.67,62.71,7.38,4.56999999999999,72.61,180.78,382.48,244.94,244.94,387.433362951603,242.554193805288
Other Income,5.47,3.62,3.11,1.93,3.02,5.1,9.25,17.33,58.39,86.36,86.36,0,0
Depreciation,4.32,3.64,3.8,4.57,4.95,4.83,6.06,9.68,15.41,24.39,24.38,24.38,24.38
Interest,2.37,2.33,4.81,3.35,1.09,1.53,4.08,2.28,19.38,10.27,10.27,10.27,10.27
Profit before tax,2.92,9,11.17,56.72,4.36,3.31,71.72,186.15,406.08,296.64,296.65,352.783362951603,207.904193805288
Tax,0.6,1.84,-2.15,-1.91,1.59,0.69,21.76,56.65,106.74,78.72,78.72,26.5363222652958%,26.5363222652958%
Net profit,2.32,7.17,13.32,58.77,3.11,1.99,42.74,127.88,280.24,193.45,193.45,259.167632860418,152.734066934051
EPS,0.300518134715026,0.928756476683938,1.72538860103627,7.61269430051814,0.391194968553459,0.250314465408805,5.37610062893082,15.2238095238095,31.0343300110742,21.4230343300111,21.42531750203,28.7037933330783,16.9158742695185
Price to earning,245.575862068966,71.6549511854951,42.3382882882883,2.98842947081844,197.855305466238,818.969849246231,61.0386640149743,62.8292148889584,47.6424011561519,59.7020935642285,74.355957611786,74.355957611786,61.1324168052812
Price,73.8,66.55,73.05,22.75,77.4,205,328.15,956.5,1478.55,1279,1593.1,2134.29804037183,1034.10827646994
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,33.1896551724138%,16.1785216178522%,17.4174174174174%,5.25778458397141%,25.7234726688103%,40.2010050251256%,3.72016846045859%,6.56865811698467%,6.44447616328861%,4.66787283535797%,,,
OPM,7.86773090079818%,18.4313088665151%,18.0763391888961%,42.0054926652823%,13.506588579795%,6.55197132616487%,33.1779757824994%,41.1003751278845%,39.283513413582%,35.617792900871%,35.617792900871%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,33.0536748394612%,33.2454883991236%,65.9496740361425%,46.4700127591203%,0%,46.4700127591203%,0%
,,,,,,OPM,35.2708624242446%,36.8379656939288%,37.0485986157722%,38.4641011241302%,35.617792900871%,38.4641011241302%,35.2708624242446%
,,,,,,Price to Earning,153.177365178376,165.672739427423,187.423030080388,61.1324168052812,74.355957611786,74.355957611786,61.1324168052812
