ASIAN PAINTS LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,03/31/2016,03/31/2017,03/31/2018,03/31/2019,03/31/2020,03/31/2021,03/31/2022,03/31/2023,03/31/2024,03/31/2025,Trailing,Best Case,Worst Case
Sales,14271.49,15061.99,16824.55,19240.13,20211.25,21712.79,29101.28,34488.59,35494.73,33905.62,34695.75,35677.2651950933,34714.1630364494
Expenses,11546.45,12068.23,13620.54,15475.19,16049.48,16857.19,24297.67,28228.75,27909.75,27899.41,28350.24,28860.0769390022,28365.2854739405
Operating Profit,2725.04,2993.76,3204.01,3764.94,4161.77,4855.6,4803.61,6259.84,7584.98,6006.21000000001,6345.51,6817.1882560911,6348.87756250896
Other Income,213.39,337.9,336.41,273.77,350.1,331.65,295.88,431.46,820.96,350.22,475.13,0,0
Depreciation,275.58,334.79,360.47,622.14,780.5,791.27,816.36,858.02,853,1026.34,1219.97,1219.97,1219.97
Interest,49,37.33,41.47,110.47,102.33,91.63,95.41,144.45,205.17,227.02,189.1,189.1,189.1
Profit before tax,2613.85,2959.54,3138.48,3306.1,3629.04,4304.35,4187.72,5688.83,7347.77,5103.07,5411.57,5408.1182560911,4939.80756250896
Tax,844.49,943.29,1040.96,1098.06,854.85,1097.6,1102.91,1493.5,1790.08,1393.36,1501.54,27.7468461093546%,27.7468461093546%
Net profit,1745.16,1939.43,2038.93,2155.92,2705.17,3139.29,3030.57,4106.45,5460.23,3667.23,3845.36,3907.53600616159,3569.16676004134
EPS,18.1939115929942,20.2192452043369,21.2565679733111,22.4762301918265,28.2023561301084,32.7282110091743,31.5947664720601,42.8111968306922,56.9248331943286,38.2321726438699,40.0893327845899,40.7375411713804,37.2099137680201
Price to earning,47.7302528134956,53.0929809273859,52.7084147077144,66.4123826487068,59.0908076017404,77.5294439188479,97.4829170750057,64.5076569786555,50.0089300267571,61.2219980748412,64.99484573616,64.99484573616,60.1833577041035
Price,868.4,1073.5,1120.4,1492.7,1666.5,2537.4,3079.95,2761.65,2846.75,2340.65,2605.6,2647.73020410433,2239.4175504396
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,41.2225813105962%,50.9417715514352%,40.9283300554703%,46.7160191472782%,42.5496364368968%,54.5400393082512%,60.6113701382908%,59.9142811917837%,58.4982683879617%,64.8669431696403%,,,
OPM,19.0942921867303%,19.876258050895%,19.0436594143677%,19.5681630009776%,20.5913538252211%,22.362856178317%,16.5065247989092%,18.1504665745976%,21.3693131346541%,17.7144968887164%,18.2890123430103%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,10.0920146362577%,10.5288017626761%,10.9010615497288%,5.22522577405533%,2.33038062716446%,5.22522577405533%,2.33038062716446%
,,,,,,OPM,19.2914540164008%,19.2820517733336%,19.0754142404857%,19.1079339148133%,18.2890123430103%,19.1079339148133%,18.2890123430103%
,,,,,,Price to Earning,63.1618755008464,67.6561227575893,69.2909653017112,60.1833577041035,64.99484573616,64.99484573616,60.1833577041035
