HINDUSTAN UNILEVER LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,03/31/2017,03/31/2018,03/31/2019,03/31/2020,03/31/2021,03/31/2022,03/31/2023,03/31/2024,03/31/2025,03/31/2026,Trailing,Best Case,Worst Case
Sales,33162,35545,39310,39783,47028,52446,60580,61896,63121,64468,65225,65843.7449343325,65834.5408163603
Expenses,26834,28046,30430,29922,35402,39589,46433,47237,48278,49429,50108,50366.286332754,50576.2693940388
Operating Profit,6328,7499,8880,9861,11626,12857,14147,14659,14843,15039,15117,15477.4586015785,15258.2714223215
Other Income,606,353,322,424,170,219,448,817,1322,4923,4894,0,0
Depreciation,432,520,565,1002,1074,1091,1137,1216,1355,1333,1368,1368,1368
Interest,35,26,33,118,117,106,114,334,395,410,415,415,415
Profit before tax,6467,7306,8604,9165,10605,11879,13344,13926,14415,18219,18228,13694.4586015785,13475.2714223215
Tax,1977,2079,2544,2409,2606,2987,3201,3644,3744,3160,3169,17.3853412332675%,17.3853412332675%
Net profit,4476,5214,6054,6748,7995,8879,10120,10277,10649,15040,15040,11313.6302436455,11132.5495034419
EPS,20.6810516102204,24.0887040887041,27.9669238231626,31.1714708056171,34.0270684371808,37.7894109635683,43.0711610486891,43.7393598910453,45.322608103507,64.0108954715696,64.0111331110949,48.1514821473207,47.3807917640075
Price to earning,42.1936957774799,52.9754525316456,58.4093556491576,70.5719025489034,68.3902583114447,51.8849050568758,56.8928243478261,49.5466784470176,47.6998145177951,32.1070340425532,35.4969501329787,41.2126192850862,35.4969501329787
Price,872.61,1276.11,1633.53,2199.83,2327.12,1960.7,2450.44,2167.14,2161.88,2055.2,2272.2,1984.44870175015,1681.87360250802
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,82.0375335120643%,82.8538550057537%,78.4935579781962%,80.0237107291049%,119.043151969981%,89.9876112174794%,90.5632411067194%,96.0397003016444%,116.959338905062%,64.0625%,,,
OPM,19.082081900971%,21.0972007314672%,22.5896718392267%,24.7869693084986%,24.7214425448669%,24.5147389696068%,23.3525916143942%,23.683275171255%,23.5151534354652%,23.3278525780232%,23.1766960521273%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,7.66589742078769%,7.32270082214179%,6.51175424096415%,2.09511815463435%,2.13399660968616%,2.13399660968616%,2.09511815463435%
,,,,,,OPM,23.2716517305098%,23.8959010793122%,23.6503796556158%,23.5063461487717%,23.1766960521273%,23.5063461487717%,23.1766960521273%
,,,,,,Price to Earning,51.469897396698,51.5737959256743,45.6047010908411,41.2126192850862,35.4969501329787,41.2126192850862,35.4969501329787
