INFOSYS LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,03/31/2017,03/31/2018,03/31/2019,03/31/2020,03/31/2021,03/31/2022,03/31/2023,03/31/2024,03/31/2025,03/31/2026,Trailing,Best Case,Worst Case
Sales,68484,70522,82675,90791,100472,121641,146767,153670,162990,178650,178650,195814.605190502,190748.539630852
Expenses,49880,51700,62505,68524,72583,90150,111637,117245,123754,136370,136371,149188.107944792,145606.32016792
Operating Profit,18604,18822,20170,22267,27889,31491,35130,36425,39236,42280,42279,46626.4972457109,45142.219462932
Other Income,3050,3311,2882,2803,2201,2295,2701,4711,3600,3033,3033,0,0
Depreciation,1703,1863,2011,2893,3267,3476,4225,4678,4812,4902,4901,4901,4901
Interest,0,0,0,170,195,200,284,470,416,416,416,416,416
Profit before tax,19951,20270,21041,22007,26628,30110,33322,35988,37608,39995,39995,41309.4972457109,39825.219462932
Tax,5598,4241,5631,5368,7205,7964,9214,9740,10858,10521,10521,26.3057882235279%,26.3057882235279%
Net profit,14353,16029,15404,16594,19351,22110,24095,26233,26713,29440,29440,30442.7083840501,29348.8815714579
EPS,31.2436056509719,36.6947484089556,35.2583030053332,38.9621976989904,45.4174196728237,52.5590130030665,58.0798341609218,63.1983425281264,64.3175306382876,72.5909853042706,72.5905662249083,75.0629564883817,72.3658944069262
Price to earning,16.3595074688218,15.4218253166136,21.0971583030382,16.4646769916837,30.1217024184797,36.2801713930348,24.5859861797053,23.7039444402089,24.4202472391719,17.2280345108696,15.4152262228261,20.1918631032691,15.4152262228261
Price,511.13,565.9,743.85,641.5,1368.05,1906.85,1427.95,1498.05,1570.65,1250.6,1119,1515.66094154005,1115.53663309991
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,41.0478645579321%,59.052966498222%,59.8708127759024%,44.7571411353501%,59.2713554855046%,58.8312980551787%,58.3905374559037%,72.6306560439142%,66.7382922172725%,66%,,,
OPM,27.1654693066994%,26.6895436884944%,24.3967342001814%,24.5255587007523%,27.7579823234334%,25.8884751029669%,23.9358983967786%,23.7033903819874%,24.0726424934045%,23.6663867898125%,23.6658270361041%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,11.2418521951353%,11.6359613659328%,12.199673885588%,6.77220242421071%,9.60795140806185%,9.60795140806185%,6.77220242421071%
,,,,,,OPM,24.8426481011539%,24.5782900392783%,24.1662498461474%,23.8115523611476%,23.6658270361041%,23.8115523611476%,23.6658270361041%
,,,,,,Price to Earning,21.9180436804049,23.5274986744975,23.6056016643028,20.1918631032691,15.4152262228261,20.1918631032691,15.4152262228261
