KOTAK MAHINDRA BANK LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,03/31/2017,03/31/2018,03/31/2019,03/31/2020,03/31/2021,03/31/2022,03/31/2023,03/31/2024,03/31/2025,03/31/2026,Trailing,Best Case,Worst Case
Sales,22324.21,25131.08,29831.22,33474.16,32819.83,33740.62,42151.06,56236.63,65668.83,69781.21,69781.21,82549.6356738503,74151.1196265276
Expenses,14832.11,16804.8,19758.36,22578.37,29811.57,30699.48,33485.46,47051.54,48890.55,52318.79,52318.79,61891.9771296124,58872.8326225785
Operating Profit,7492.1,8326.28,10072.86,10895.79,3008.26,3041.14,8665.6,9185.09,16778.28,17462.42,17462.42,20657.6585442379,15278.287003949
Other Income,11659.56,13682.23,16147.89,16891.58,23587.68,24941.06,25990.97,38037.28,41426.21,38150.28,38150.28,0,0
Depreciation,362.21,383.43,458.42,464.89,461.05,480.35,599.26,791.75,940.91,0,0,0,0
Interest,11457.51,12466.85,15186.61,15900.68,12966.55,11553.54,14411.13,22567.24,28274.55,29619.98,29619.98,29619.98,29619.98
Profit before tax,7331.94,9158.23,10575.72,11421.8,13168.34,15948.31,19646.18,23863.38,28989.03,25992.72,25992.72,-8962.32145576215,-14341.692996051
Tax,2382.85,3011.09,3456.02,2814.72,3265.44,4016.43,4865.74,5886.55,7043.29,6812.1,6812.1,26.2077227777624%,26.2077227777624%
Net profit,4940.43,6200.97,7204.13,8593.36,9990.2,12089.39,14925.01,18213.21,22125.99,19287.89,19287.89,-6613.50109418409,-10583.0618540082
EPS,5.36740724645554,6.50801830356206,7.54849221484105,8.98398360724292,10.0817422193517,12.1828323239245,15.0259846166237,18.3238862730895,22.2570842260917,19.3916352485799,19.391703375048,-6.64909699759659,-10.6400231581947
Price to earning,32.4998629673935,32.2002782145374,35.3580546158939,28.8524569202268,34.7757354207123,28.792155278306,23.0647114876305,19.4882239868755,19.5101926015514,18.2243526896929,19.9595668577538,19.9595668577538,19.2955840339684
Price,174.44,209.56,266.9,259.21,350.6,350.77,346.57,357.1,434.24,353.4,387.05,-132.713096067219,-205.305460972316
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,2.23563535967517%,2.15111506748138%,2.11961749718564%,0%,1.78544974074593%,1.80579830744148%,1.99651457519961%,2.18292107761345%,2.24649834877445%,3.35194777655824%,,,
OPM,33.5604261024242%,33.1314054151274%,33.7661684637772%,32.5498533794425%,9.16598288290952%,9.01329021221306%,20.5584390997522%,16.3329310451213%,25.5498384850164%,25.0245302424535%,25.0245302424535%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,13.4999896288979%,12.9077949420619%,16.2841261859218%,18.2977991838351%,6.26230130794169%,18.2977991838351%,6.26230130794169%
,,,,,,OPM,23.0878698099287%,20.6775380074911%,20.6042566597783%,22.654569563966%,25.0245302424535%,25.0245302424535%,20.6042566597783%
,,,,,,Price to Earning,26.6114173673249,24.0834244053436,21.5065338169683,19.2955840339684,19.9595668577538,19.9595668577538,19.2955840339684
