MARUTI SUZUKI INDIA LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,03/31/2017,03/31/2018,03/31/2019,03/31/2020,03/31/2021,03/31/2022,03/31/2023,03/31/2024,03/31/2025,03/31/2026,Trailing,Best Case,Worst Case
Sales,68085,79809.4,86068.5,75660,70372,88329.8,117571.3,141858.2,152913,183316,183316,219763.890944524,204224.758887537
Expenses,57663.7,67691.5,75012.2,68305,64961.4,82577.8,106542.1,123231.9,132689.4,161859.8,161876,192042.790727472,182116.640763383
Operating Profit,10421.3,12117.9,11056.3,7355,5410.6,5752,11029.2,18626.3,20223.6,21456.2,21440,27721.1002170515,22108.1181241543
Other Income,2399.2,2154.6,2664.2,3410.4,3046.3,1860.8,2306.6,4247.6,5198.8,4642.7,4658.9,0,0
Depreciation,2603.9,2759.8,3020.8,3528.4,3034.1,2789,2825.7,5255.8,5608.2,6741.7,6741.7,6741.7,6741.7
Interest,89.4,345.8,75.9,134.2,101.8,126.6,187,193.6,194.2,238.7,238.7,238.7,238.7
Profit before tax,10127.2,11166.9,10623.8,7102.8,5321,4697.2,10323.1,17424.5,19620,19118.5,19118.5,20740.7002170515,15127.7181241543
Tax,2616.2,3286.2,2973.2,1425.2,931.9,817.7,2112.1,3936.3,5119.8,4439,4439,23.2183487198263%,23.2183487198263%
Net profit,7509.9,7880,7649.1,5676,4389.1,3879.5,8211,13488.2,14500.2,14679.5,14679.5,15925.0521137227,11615.3117767358
EPS,248.589870903674,260.840781198279,253.197616683218,187.884806355511,145.286329030123,128.417742469381,271.797418073486,429.013994910942,461.202290076336,466.905216284987,466.901397218247,506.517870681599,369.440736924521
Price to earning,24.1992965285823,33.9712983502538,26.3531311526846,22.8240914376321,47.2115996445741,58.8804931047816,30.5085679576178,29.3704870924215,24.9828551330326,26.3565271296706,28.3164712694574,28.3164712694574,27.2565851561456
Price,6015.7,8861.1,6672.55,4288.3,6859.2,7561.3,8292.15,12600.35,11522.15,12306,13221,14342.7987326222,10069.6929061324
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,30.1601885511125%,30.6598984771574%,31.5854152776144%,31.923890063425%,30.96306759928%,46.7070498775615%,33.1019364267446%,29.1365786391068%,29.2713203955807%,29.9846725024694%,,,
OPM,15.3063082911067%,15.1835498074162%,12.8459308573985%,9.72112080359503%,7.68856931734212%,6.51195859155121%,9.38086080531559%,13.1302244071897%,13.2255596319476%,11.7044884243601%,11.6956512252067%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,11.6334445792552%,11.4058559468554%,21.10444832696%,15.9577243992096%,19.8825475924218%,19.8825475924218%,11.4058559468554%
,,,,,,OPM,11.602476430079%,10.8253858369488%,11.270265880279%,12.6140377738622%,11.6956512252067%,12.6140377738622%,10.8253858369488%
,,,,,,Price to Earning,32.0886198909735,33.5563865961485,33.0692336144969,27.2565851561456,28.3164712694574,28.3164712694574,27.2565851561456
