SUN PHARMACEUTICAL INDUSTRIES LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,03/31/2016,03/31/2017,03/31/2018,03/31/2019,03/31/2020,03/31/2021,03/31/2022,03/31/2023,03/31/2024,03/31/2025,Trailing,Best Case,Worst Case
Sales,28487.03,31578.44,26489.46,29065.91,32837.5,33498.14,38654.49,43885.68,48496.85,52578.44,56809.09,58256.3958663028,56581.6212610047
Expenses,20313.13,21476.42,20858.04,22688.93,25854.66,25028.18,28396.92,32235.24,35479.08,37463.98,39315.8,40317.4352660884,42007.1612606598
Operating Profit,8173.9,10102.02,5631.42,6376.98,6982.84,8469.96,10257.57,11650.44,13017.77,15114.46,17493.29,17938.9606002144,14574.4600003449
Other Income,-42.5,610.4,-135.03,-258.28,382.26,-3449.21,-3505.16,459.42,865.23,1444.42,456.93,0,0
Depreciation,1037.53,1264.75,1499.84,1753.25,2052.78,2079.95,2143.74,2529.43,2556.64,2575.39,2826.17,2826.17,2826.17
Interest,523.24,399.8,517.57,555.25,302.73,141.43,127.35,172,238.47,231.36,302.16,302.16,302.16
Profit before tax,6570.63,9047.87,3478.98,3810.2,5009.59,2799.37,4481.32,9408.43,11087.89,13752.13,14821.89,14810.6306002144,11446.1300003449
Tax,913.77,1211.57,911.04,600.88,822.8,514.69,1075.5,847.59,1439.45,2772.03,3820.45,25.7757276568643%,25.7757276568643%
Net profit,4545.71,6964.37,2095.7,2665.42,3764.93,2903.82,3272.73,8473.58,9576.38,10929.04,10915.27,10993.082792439,8495.80670420536
EPS,18.8877300868409,29.0266744467136,8.73463093402242,11.1091568374109,15.6917851039887,12.1027799774934,13.640353436419,35.3168840911933,39.9132246905347,45.5509523611053,45.492897969433,45.8172078057579,35.4090066083971
Price to earning,43.4144281091403,23.7075039809775,56.6824178078924,43.104081345529,22.4512378716205,49.3936104854984,67.0620452955178,27.8365440581195,40.6018309110541,38.0826285748794,41.2855650845101,41.2855650845101,36.9516421571408
Price,820,688.15,495.1,478.85,352.3,597.8,914.75,983.1,1620.55,1734.7,1878.2,1891.58931485514,1308.42094133332
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,5.29422246469748%,12.0579463756234%,22.8973612635396%,24.7544477043018%,25.4910449862282%,61.969405817165%,73.3118833512083%,32.5623880343373%,33.8234280594546%,35.1255005014164%,,,
OPM,28.693408895206%,31.9902439765865%,21.2590970144352%,21.9397225134186%,21.2648344118767%,25.2848665627405%,26.536555003054%,26.547247302537%,26.8425062658709%,28.7464976138509%,30.7931177915365%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,7.0467266083732%,10.2893337157157%,9.87212449214647%,10.7990192677889%,8.41619610345827%,10.7990192677889%,7.0467266083732%
,,,,,,OPM,26.1993193460089%,25.7582933743%,26.9491178811461%,27.4437112279257%,30.7931177915365%,30.7931177915365%,25.7582933743%
,,,,,,Price to Earning,41.2383539567944,41.2271929533411,44.0437040682632,36.9516421571408,41.2855650845101,41.2855650845101,36.9516421571408
